full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.01,0.04,0.0,0.8,0.04,2.02,0.77,0.94,1.65,20,26.0,0,1
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.01,0.04,0.0,0.8,0.04,2.02,0.77,0.94,1.65,20,26.0,0,1
Gabriel dos Santos Magalhães,Arsenal,Defender,71,95.15,0.17,0.09,0.06,0.0,7.59,1.05,2.02,0.77,0.94,1.65,20,26.0,0,1
Gabriel dos Santos Magalhães,Arsenal,Defender,71,95.15,0.17,0.09,0.06,0.0,7.59,1.05,2.02,0.77,0.94,1.65,20,26.0,0,1
William Saliba,Arsenal,Defender,61,90.42,0.03,0.02,0.05,0.0,4.99,1.1,2.02,0.77,0.94,1.65,20,26.0,0,1
William Saliba,Arsenal,Defender,61,90.42,0.03,0.02,0.05,0.0,4.99,1.1,2.02,0.77,0.94,1.65,20,26.0,0,1
Riccardo Calafiori,Arsenal,Defender,56,85.31,0.17,0.03,0.33,0.0,4.04,2.02,2.02,0.77,0.94,1.65,20,26.0,0,1
Riccardo Calafiori,Arsenal,Defender,56,85.31,0.17,0.03,0.33,0.0,4.04,2.02,2.02,0.77,0.94,1.65,20,26.0,0,1
Jurriën Timber,Arsenal,Defender,64,93.19,0.15,0.08,0.18,0.0,2.88,2.43,2.02,0.77,0.94,1.65,20,26.0,0,1
Jurriën Timber,Arsenal,Defender,64,93.19,0.15,0.08,0.18,0.0,2.88,2.43,2.02,0.77,0.94,1.65,20,26.0,0,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,2.02,0.77,0.94,1.65,20,26.0,0,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,2.02,0.77,0.94,1.65,20,26.0,0,1
Bukayo Saka,Arsenal,Midfielder,99,82.17,0.38,0.34,0.06,0.0,0.64,1.52,2.02,0.77,0.94,1.65,20,26.0,0,1
Bukayo Saka,Arsenal,Midfielder,99,82.17,0.38,0.34,0.06,0.0,0.64,1.52,2.02,0.77,0.94,1.65,20,26.0,0,1
Martin Ødegaard,Arsenal,Midfielder,78,62.28,0.09,0.32,0.0,0.0,1.16,1.42,2.02,0.77,0.94,1.65,20,26.0,0,1
Martin Ødegaard,Arsenal,Midfielder,78,62.28,0.09,0.32,0.0,0.0,1.16,1.42,2.02,0.77,0.94,1.65,20,26.0,0,1
Leandro Trossard,Arsenal,Midfielder,68,76.3,0.33,0.2,0.06,0.0,1.21,1.08,2.02,0.77,0.94,1.65,20,26.0,0,1
Leandro Trossard,Arsenal,Midfielder,68,76.3,0.33,0.2,0.06,0.0,1.21,1.08,2.02,0.77,0.94,1.65,20,26.0,0,1
Declan Rice,Arsenal,Midfielder,75,95.51,0.15,0.24,0.09,0.0,3.9,1.8,2.02,0.77,0.94,1.65,20,26.0,0,1
Declan Rice,Arsenal,Midfielder,75,95.51,0.15,0.24,0.09,0.0,3.9,1.8,2.02,0.77,0.94,1.65,20,26.0,0,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,53,94.0,0.11,0.04,0.17,0.0,3.76,1.81,2.02,0.77,0.94,1.65,20,26.0,0,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,53,94.0,0.11,0.04,0.17,0.0,3.76,1.81,2.02,0.77,0.94,1.65,20,26.0,0,1
Kai Havertz,Arsenal,Forward,73,60.37,0.1,0.1,0.0,0.0,2.88,1.15,2.02,0.77,0.94,1.65,20,26.0,0,1
Kai Havertz,Arsenal,Forward,73,60.37,0.1,0.1,0.0,0.0,2.88,1.15,2.02,0.77,0.94,1.65,20,26.0,0,1
Eberechi Eze,Arsenal,Midfielder,72,61.22,0.17,0.16,0.08,0.0,1.17,1.09,2.02,0.77,0.94,1.65,20,26.0,0,1
Eberechi Eze,Arsenal,Midfielder,72,61.22,0.17,0.16,0.08,0.0,1.17,1.09,2.02,0.77,0.94,1.65,20,26.0,0,1
Viktor Gyökeres,Arsenal,Forward,88,73.0,0.51,0.08,0.18,0.0,0.97,0.3,2.02,0.77,0.94,1.65,20,26.0,0,1
Viktor Gyökeres,Arsenal,Forward,88,73.0,0.51,0.08,0.18,0.0,0.97,0.3,2.02,0.77,0.94,1.65,20,26.0,0,1
Piero Hincapié,Arsenal,Defender,51,77.56,0.0,0.04,0.17,0.0,5.95,1.9,2.02,0.77,0.94,1.65,20,26.0,0,1
