full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,blocks_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.0,0.09090909090909091,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Gabriel dos Santos Magalhães,Arsenal,Defender,66,100.0,0.07,0.13,1.5454545454545454,0.09090909090909091,0.0,1.7650000000000001,0.7200000000000001,21,1,1
William Saliba,Arsenal,Defender,59,73.1,0.03,0.01,0.5,0.0,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Riccardo Calafiori,Arsenal,Defender,57,86.5,0.23,0.05,0.7368421052631579,0.3157894736842105,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Jurriën Timber,Arsenal,Defender,64,89.1,0.2,0.06,0.9183673469387754,0.2040816326530612,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Bukayo Saka,Arsenal,Midfielder,103,68.8,0.32,0.26,1.3157894736842106,0.0,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Leandro Trossard,Arsenal,Midfielder,70,64.9,0.25,0.11,0.9859154929577465,0.0,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Declan Rice,Arsenal,Midfielder,71,90.3,0.1,0.17,0.8080808080808081,0.0,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Mikel Merino Zazón,Arsenal,Midfielder,57,42.2,0.15,0.08,1.3043478260869565,0.0,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,94.6,0.05,0.08,1.25,0.1923076923076923,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Eberechi Eze,Arsenal,Midfielder,74,62.4,0.23,0.12,0.43478260869565216,0.0,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Viktor Gyökeres,Arsenal,Forward,88,80.8,0.51,0.12,0.5617977528089887,0.11235955056179775,0.0,1.7650000000000001,0.7200000000000001,21,1,1
Emiliano Martínez Romero,Aston Villa,Goalkeeper,50,81.8,0.0,0.0,0.0,0.1111111111111111,0.0,1.165,1.43,21,0,2
Matty Cash,Aston Villa,Defender,48,97.6,0.02,0.06,1.4018691588785048,0.28037383177570097,0.0,1.165,1.43,21,0,2
Lucas Digne,Aston Villa,Defender,45,82.6,0.04,0.1,0.32967032967032966,0.21978021978021978,0.0,1.165,1.43,21,0,2
Ezri Konsa Ngoyo,Aston Villa,Defender,44,88.4,0.0,0.0,1.5463917525773196,0.0,0.10309278350515465,1.165,1.43,21,0,2
Tyrone Mings,Aston Villa,Defender,43,50.3,0.05,0.02,1.0909090909090908,0.0,0.0,1.165,1.43,21,0,2
Pau Torres,Aston Villa,Defender,43,60.5,0.02,0.0,1.044776119402985,0.0,0.0,1.165,1.43,21,0,2
Morgan Rogers,Aston Villa,Midfielder,76,98.6,0.06,0.1,0.6481481481481481,0.18518518518518517,0.0,1.165,1.43,21,0,2
Emiliano Buendía Stati,Aston Villa,Midfielder,53,43.1,0.2,0.2,2.7659574468085104,0.425531914893617,0.0,1.165,1.43,21,0,2
John McGinn,Aston Villa,Midfielder,54,84.5,0.1,0.11,1.075268817204301,0.1075268817204301,0.0,1.165,1.43,21,0,2
