full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
Lesley Ugochukwu,Burnley,Midfielder,50,76.38,0.12,0.02,0.05,0.05,2.58,2.24,0.95,2.2,1.31,1.54,8,29.0,0,19
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,78.41,0.05,0.03,0.22,0.0,4.68,4.18,0.95,2.2,1.31,1.54,8,29.0,0,19
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.07,0.0,1.89,0.0,1.69,1.48,1.81,1.44,7,29.0,1,10
Marcos Senesi Barón,Bournemouth,Defender,49,98.68,0.06,0.13,0.3,0.0,10.44,1.77,1.69,1.48,1.81,1.44,7,29.0,1,10
Adrien Truffert,Bournemouth,Defender,46,98.85,0.01,0.06,0.11,0.0,5.56,2.8,1.69,1.48,1.81,1.44,7,29.0,1,10
James Hill,Bournemouth,Defender,41,70.18,0.01,0.08,0.15,0.0,9.21,1.72,1.69,1.48,1.81,1.44,7,29.0,1,10
Marcus Tavernier,Bournemouth,Midfielder,53,87.22,0.24,0.15,0.14,0.0,2.14,1.41,1.69,1.48,1.81,1.44,7,29.0,1,10
Tyler Adams,Bournemouth,Midfielder,49,88.69,0.06,0.0,0.4,0.0,4.15,2.72,1.69,1.48,1.81,1.44,7,29.0,1,10
Lewis Cook,Bournemouth,Midfielder,49,62.15,0.01,0.04,0.11,0.11,5.79,2.59,1.69,1.48,1.81,1.44,7,29.0,1,10
Alex Scott,Bournemouth,Midfielder,51,83.53,0.12,0.06,0.13,0.0,4.37,1.81,1.69,1.48,1.81,1.44,7,29.0,1,10
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,69,84.83,0.42,0.09,0.05,0.0,1.12,0.33,1.69,1.48,1.81,1.44,7,29.0,1,10
Bafodé Diakité,Bournemouth,Defender,42,78.77,0.0,0.01,0.07,0.0,6.85,1.41,1.69,1.48,1.81,1.44,7,29.0,1,10
Álex Jiménez Sánchez,Bournemouth,Defender,45,83.43,0.05,0.05,0.4,0.0,3.06,2.55,1.69,1.48,1.81,1.44,7,29.0,1,10
Dango Ouattara,Brentford,Midfielder,59,78.69,0.35,0.19,0.23,0.0,3.42,0.83,1.81,1.44,1.69,1.48,10,29.0,0,7
Caoimhín Kelleher,Brentford,Goalkeeper,47,100.0,0.0,0.0,0.04,0.0,1.26,0.04,1.81,1.44,1.69,1.48,10,29.0,0,7
Hákon Rafn Valdimarsson,Brentford,Goalkeeper,39,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.44,1.69,1.48,10,29.0,0,7
Nathan Collins,Brentford,Defender,49,91.82,0.1,0.08,0.17,0.0,9.26,1.04,1.81,1.44,1.69,1.48,10,29.0,0,7
Kristoffer Ajer,Brentford,Defender,44,77.83,0.06,0.05,0.12,0.0,7.44,1.87,1.81,1.44,1.69,1.48,10,29.0,0,7
Michael Kayode,Brentford,Defender,45,97.98,0.01,0.09,0.23,0.0,4.39,2.1,1.81,1.44,1.69,1.48,10,29.0,0,7
Ethan Pinnock,Brentford,Defender,42,88.89,0.0,0.0,0.38,0.0,9.87,1.58,1.81,1.44,1.69,1.48,10,29.0,0,7
Sepp van den Berg,Brentford,Defender,45,98.26,0.12,0.04,0.04,0.0,8.46,0.62,1.81,1.44,1.69,1.48,10,29.0,0,7
Kevin Schade,Brentford,Midfielder,69,88.8,0.42,0.18,0.27,0.05,2.05,1.51,1.81,1.44,1.69,1.48,10,29.0,0,7
Mikkel Damsgaard,Brentford,Midfielder,56,66.39,0.12,0.33,0.0,0.0,1.99,2.43,1.81,1.44,1.69,1.48,10,29.0,0,7
Jordan Henderson,Brentford,Midfielder,50,68.21,0.03,0.17,0.23,0.0,2.63,1.26,1.81,1.44,1.69,1.48,10,29.0,0,7
Vitaly Janelt,Brentford,Midfielder,49,62.47,0.05,0.26,0.51,0.0,4.74,1.72,1.81,1.44,1.69,1.48,10,29.0,0,7
Gustavo Nunes Fernandes Gomes,Brentford,Midfielder,49,87.61,0.05,0.04,0.34,0.0,0.0,0.0,1.81,1.44,1.69,1.48,10,29.0,0,7
Yehor Yarmoliuk,Brentford,Midfielder,50,79.88,0.06,0.05,0.31,0.0,2.63,2.36,1.81,1.44,1.69,1.48,10,29.0,0,7
Igor Thiago Nascimento Rodrigues,Brentford,Forward,72,94.92,0.73,0.11,0.23,0.0,2.0,0.83,1.81,1.44,1.69,1.48,10,29.0,0,7
Bart Verbruggen,Brighton,Goalkeeper,45,100.0,0.0,0.0,0.11,0.0,0.82,0.04,1.47,1.51,2.01,0.79,1,29.0,1,11
Lewis Dunk,Brighton,Defender,45,97.94,0.03,0.02,0.34,0.0,6.45,1.13,1.47,1.51,2.01,0.79,1,29.0,1,11
Ferdi Kadıoğlu,Brighton,Defender,44,92.39,0.05,0.04,0.2,0.0,2.95,1.9,1.47,1.51,2.01,0.79,1,29.0,1,11
Jan Paul van Hecke,Brighton,Defender,44,98.89,0.1,0.03,0.27,0.0,7.17,1.36,1.47,1.51,2.01,0.79,1,29.0,1,11
Mitoma Kaoru,Brighton,Midfielder,61,84.32,0.2,0.2,0.2,0.0,1.32,0.73,1.47,1.51,2.01,0.79,1,29.0,1,11
Georginio Rutter,Brighton,Midfielder,56,73.96,0.14,0.18,0.12,0.0,1.92,1.38,1.47,1.51,2.01,0.79,1,29.0,1,11
Yankuba Minteh,Brighton,Midfielder,55,76.25,0.17,0.21,0.0,0.0,1.16,1.87,1.47,1.51,2.01,0.79,1,29.0,1,11
Jack Hinshelwood,Brighton,Midfielder,51,61.11,0.11,0.08,0.0,0.0,2.7,1.16,1.47,1.51,2.01,0.79,1,29.0,1,11
Matt O'Riley,Brighton,Midfielder,55,67.78,0.56,0.07,0.0,0.0,1.46,1.95,1.47,1.51,2.01,0.79,1,29.0,1,11
Yasin Ayari,Brighton,Midfielder,48,90.05,0.1,0.05,0.0,0.0,2.44,2.28,1.47,1.51,2.01,0.79,1,29.0,1,11
Diego Gómez Amarilla,Brighton,Midfielder,49,76.93,0.25,0.08,0.31,0.0,1.88,3.39,1.47,1.51,2.01,0.79,1,29.0,1,11
Mats Wieffer,Brighton,Midfielder,49,81.98,0.08,0.18,0.41,0.0,5.14,3.5,1.47,1.51,2.01,0.79,1,29.0,1,11
Danny Welbeck,Brighton,Forward,61,67.33,0.51,0.07,0.22,0.0,1.39,1.0,1.47,1.51,2.01,0.79,1,29.0,1,11
Pascal Groß,Brighton,Midfielder,55,90.74,0.08,0.19,0.24,0.0,2.57,1.47,1.47,1.51,2.01,0.79,1,29.0,1,11
Robert Lynch Sánchez,Chelsea,Goalkeeper,49,96.46,0.0,0.03,0.15,0.04,0.84,0.08,2.08,1.49,1.35,1.48,4,29.0,0,6
Filip Jörgensen,Chelsea,Goalkeeper,43,97.22,0.0,0.0,0.0,0.0,1.03,0.0,2.08,1.49,1.35,1.48,4,29.0,0,6
Marc Cucurella Saseta,Chelsea,Defender,60,88.06,0.06,0.14,0.24,0.05,4.63,2.05,2.08,1.49,1.35,1.48,4,29.0,0,6
Reece James,Chelsea,Defender,56,74.98,0.05,0.19,0.21,0.0,3.73,2.42,2.08,1.49,1.35,1.48,4,29.0,0,6
Trevoh Chalobah,Chelsea,Defender,56,97.94,0.05,0.02,0.11,0.04,7.86,1.25,2.08,1.49,1.35,1.48,4,29.0,0,6
Malo Gusto,Chelsea,Defender,49,70.71,0.11,0.11,0.11,0.06,2.87,2.29,2.08,1.49,1.35,1.48,4,29.0,0,6
Benoît Badiashile Mukinayi,Chelsea,Defender,44,66.39,0.0,0.0,0.38,0.0,7.85,1.34,2.08,1.49,1.35,1.48,4,29.0,0,6
Wesley Fofana,Chelsea,Defender,44,70.9,0.01,0.05,0.18,0.09,10.29,1.32,2.08,1.49,1.35,1.48,4,29.0,0,6
Tosin Adarabioyo,Chelsea,Defender,40,61.45,0.01,0.05,0.25,0.0,9.62,1.62,2.08,1.49,1.35,1.48,4,29.0,0,6
Cole Palmer,Chelsea,Midfielder,106,78.24,0.59,0.09,0.3,0.0,1.41,1.25,2.08,1.49,1.35,1.48,4,29.0,0,6
Pedro Lomba Neto,Chelsea,Midfielder,70,85.99,0.2,0.29,0.08,0.04,0.72,0.63,2.08,1.49,1.35,1.48,4,29.0,0,6
Enzo Fernández,Chelsea,Midfielder,67,96.34,0.39,0.26,0.27,0.0,1.63,1.75,2.08,1.49,1.35,1.48,4,29.0,0,6
Moisés Caicedo Corozo,Chelsea,Midfielder,57,94.44,0.06,0.09,0.37,0.05,3.87,3.27,2.08,1.49,1.35,1.48,4,29.0,0,6
João Pedro Junqueira de Jesus,Chelsea,Forward,76,82.74,0.5,0.16,0.13,0.0,1.53,0.88,2.08,1.49,1.35,1.48,4,29.0,0,6
Alejandro Garnacho Ferreyra,Chelsea,Midfielder,64,60.26,0.3,0.27,0.1,0.0,0.71,0.81,2.08,1.49,1.35,1.48,4,29.0,0,6
Dean Henderson,Crystal Palace,Goalkeeper,50,100.0,0.0,0.0,0.11,0.0,1.43,0.0,1.67,1.52,1.18,1.55,16,29.0,0,14
Daniel Muñoz Mejía,Crystal Palace,Defender,59,98.5,0.1,0.2,0.25,0.0,4.69,2.45,1.67,1.52,1.18,1.55,16,29.0,0,14
Maxence Lacroix,Crystal Palace,Defender,51,98.72,0.09,0.05,0.11,0.04,8.68,1.84,1.67,1.52,1.18,1.55,16,29.0,0,14
Tyrick Mitchell,Crystal Palace,Defender,50,99.09,0.05,0.07,0.18,0.0,4.02,2.68,1.67,1.52,1.18,1.55,16,29.0,0,14
Chris Richards,Crystal Palace,Defender,44,99.72,0.04,0.01,0.13,0.0,8.03,2.01,1.67,1.52,1.18,1.55,16,29.0,0,14
Nathaniel Clyne,Crystal Palace,Defender,38,69.52,0.06,0.14,0.0,0.0,4.74,2.58,1.67,1.52,1.18,1.55,16,29.0,0,14
Ismaïla Sarr,Crystal Palace,Midfielder,63,96.42,0.42,0.11,0.12,0.0,1.92,0.93,1.67,1.52,1.18,1.55,16,29.0,0,14
Daichi Kamada,Crystal Palace,Midfielder,50,86.91,0.08,0.1,0.13,0.0,1.89,2.87,1.67,1.52,1.18,1.55,16,29.0,0,14
Adam Wharton,Crystal Palace,Midfielder,50,93.47,0.03,0.18,0.17,0.04,2.45,2.5,1.67,1.52,1.18,1.55,16,29.0,0,14
Jean-Philippe Mateta,Crystal Palace,Forward,75,93.62,0.6,0.05,0.09,0.0,2.41,0.38,1.67,1.52,1.18,1.55,16,29.0,0,14
Jørgen Strand Larsen,Crystal Palace,Forward,61,74.36,0.25,0.03,0.16,0.0,1.98,0.31,1.67,1.52,1.18,1.55,16,29.0,0,14
Yéremy Pino Santos,Crystal Palace,Midfielder,58,75.21,0.2,0.31,0.2,0.0,1.27,1.58,1.67,1.52,1.18,1.55,16,29.0,0,14
Kiernan Dewsbury-Hall,Everton,Midfielder,50,92.59,0.12,0.25,0.31,0.0,1.71,1.76,1.31,1.54,0.95,2.2,19,29.0,1,8
Jordan Pickford,Everton,Goalkeeper,56,100.0,0.0,0.0,0.07,0.0,1.36,0.07,1.31,1.54,0.95,2.2,19,29.0,1,8
Jarrad Branthwaite,Everton,Defender,53,75.19,0.05,0.02,0.22,0.0,6.62,1.76,1.31,1.54,0.95,2.2,19,29.0,1,8
James Tarkowski,Everton,Defender,57,100.0,0.07,0.05,0.18,0.0,9.36,1.36,1.31,1.54,0.95,2.2,19,29.0,1,8
