full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.97,0.03,1.97,0.88,1.31,1.59,10,35,1,1,11,0.0,180,0,2.0,34.9,504.4,33.4,0.0,53.8
Gabriel dos Santos Magalhães,Arsenal,Defender,72,96.71,0.12,0.1,0.15,0.0,7.87,1.29,1.97,0.88,1.31,1.59,10,35,1,1,8,0.02,180,0,2.0,44.5,752.6,123.7,227.0,110.2
William Saliba,Arsenal,Defender,61,92.82,0.06,0.03,0.04,0.0,5.34,1.27,1.97,0.88,1.31,1.59,10,35,1,1,10,0.0,180,0,2.0,15.2,488.6,171.6,76.0,73.6
Riccardo Calafiori,Arsenal,Defender,56,75.4,0.16,0.03,0.3,0.0,3.98,1.93,1.97,0.88,1.31,1.59,10,35,1,1,0,0.0,0,0,2.0,5.8,244.4,127.9,249.0,62.2
Jurriën Timber,Arsenal,Defender,61,91.67,0.15,0.09,0.18,0.0,3.01,2.42,1.97,0.88,1.31,1.59,10,35,1,1,0,0.0,0,0,2.0,17.6,499.0,402.6,352.0,125.7
Benjamin White,Arsenal,Defender,51,65.44,0.04,0.18,0.0,0.0,5.19,2.29,1.97,0.88,1.31,1.59,10,35,1,1,7,0.0,106,0,2.0,0.5,142.6,115.8,48.0,30.7
Bukayo Saka,Arsenal,Midfielder,98,80.0,0.37,0.29,0.04,0.0,1.12,1.57,1.97,0.88,1.31,1.59,10,35,1,1,1,0.04,9,1,2.0,7.5,541.0,736.3,771.0,205.1
Martin Ødegaard,Arsenal,Midfielder,78,62.47,0.08,0.35,0.0,0.0,0.94,1.37,1.97,0.88,1.31,1.59,10,35,1,1,5,0.03,180,0,2.0,1.6,287.0,531.1,159.0,97.6
Leandro Trossard,Arsenal,Midfielder,65,69.68,0.3,0.2,0.05,0.0,1.35,1.35,1.97,0.88,1.31,1.59,10,35,1,1,1,0.0,16,0,2.0,0.8,424.6,478.5,440.0,134.6
Declan Rice,Arsenal,Midfielder,72,96.4,0.12,0.25,0.09,0.0,3.54,1.96,1.97,0.88,1.31,1.59,10,35,1,1,4,0.0,180,0,2.0,24.2,772.2,978.3,290.0,204.2
Martín Zubimendi Ibáñez,Arsenal,Midfielder,50,94.25,0.09,0.03,0.12,0.0,3.78,2.1,1.97,0.88,1.31,1.59,10,35,1,1,9,0.07,163,0,2.0,3.1,580.6,354.5,271.0,120.8
Eberechi Eze,Arsenal,Midfielder,72,64.71,0.21,0.14,0.05,0.0,1.14,0.98,1.97,0.88,1.31,1.59,10,35,1,1,8,0.25,125,0,2.0,8.8,374.6,268.5,388.0,102.9
Viktor Gyökeres,Arsenal,Forward,88,72.19,0.49,0.1,0.22,0.0,0.97,0.26,1.97,0.88,1.31,1.59,10,35,1,1,2,0.03,62,1,2.0,12.1,446.0,225.0,665.0,132.8
Piero Hincapié,Arsenal,Defender,51,81.16,0.02,0.11,0.11,0.0,6.33,2.52,1.97,0.88,1.31,1.59,10,35,1,1,10,0.0,180,0,2.0,1.0,434.8,181.0,61.0,67.5
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.35,0.0,0.0,0.07,0.0,0.91,0.0,1.44,1.5,1.19,1.52,18,35,1,5,5,0.0,180,0,3.0,4.7,683.8,13.2,0.0,69.6
Marco Bizot,Aston Villa,Goalkeeper,42,91.3,0.0,0.0,0.18,0.0,1.27,0.0,1.44,1.5,1.19,1.52,18,35,1,5,0,0.0,0,0,3.0,0.4,118.2,0.0,0.0,11.8
Matty Cash,Aston Villa,Defender,47,98.06,0.04,0.1,0.26,0.0,3.72,1.89,1.44,1.5,1.19,1.52,18,35,1,5,3,0.01,180,0,3.0,8.2,577.0,450.8,215.0,124.3
Lucas Digne,Aston Villa,Defender,45,67.2,0.03,0.14,0.15,0.0,3.68,1.76,1.44,1.5,1.19,1.52,18,35,1,5,5,0.02,110,0,3.0,1.6,367.2,424.5,126.0,91.7
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.17,0.03,0.02,0.0,0.03,5.2,0.66,1.44,1.5,1.19,1.52,18,35,1,5,3,0.0,180,0,3.0,7.7,572.2,106.1,122.0,80.6
Tyrone Mings,Aston Villa,Defender,43,82.86,0.09,0.06,0.0,0.0,7.02,0.34,1.44,1.5,1.19,1.52,18,35,1,5,1,0.07,90,0,3.0,0.6,231.0,72.5,96.0,40.0
Pau Torres,Aston Villa,Defender,43,92.11,0.04,0.0,0.06,0.0,4.83,1.21,1.44,1.5,1.19,1.52,18,35,1,5,1,0.0,90,0,3.0,0.3,302.4,46.5,55.0,40.7
Morgan Rogers,Aston Villa,Midfielder,75,99.05,0.21,0.19,0.18,0.0,1.35,1.05,1.44,1.5,1.19,1.52,18,35,1,5,11,0.65,180,0,3.0,25.0,665.8,634.6,822.0,211.9
Youri Tielemans,Aston Villa,Midfielder,59,83.44,0.1,0.16,0.0,0.0,2.52,2.86,1.44,1.5,1.19,1.52,18,35,1,5,4,0.04,163,0,3.0,0.7,374.8,459.1,158.0,99.3
John McGinn,Aston Villa,Midfielder,53,84.03,0.11,0.18,0.18,0.0,1.42,1.24,1.44,1.5,1.19,1.52,18,35,1,5,7,0.0,152,0,3.0,0.7,394.2,553.7,237.0,118.3
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.44,1.5,1.19,1.52,18,35,1,5,0,0.0,0,0,3.0,0.2,325.0,241.3,75.0,64.2
Amadou Onana,Aston Villa,Midfielder,48,82.36,0.14,0.03,0.15,0.0,5.07,2.43,1.44,1.5,1.19,1.52,18,35,1,5,1,0.28,90,0,3.0,0.7,409.6,151.1,178.0,73.9
Ollie Watkins,Aston Villa,Forward,88,87.85,0.51,0.1,0.1,0.0,0.75,0.75,1.44,1.5,1.19,1.52,18,35,1,5,18,1.61,158,0,3.0,15.5,522.4,300.4,958.0,177.5
Kyle Walker,Burnley,Defender,44,95.17,0.0,0.05,0.3,0.0,4.74,1.55,0.98,2.2,1.56,1.45,15,35,0,19,2,0.0,183,0,3.0,1.1,453.0,200.6,24.0,68.0
Hjalmar Ekdal,Burnley,Defender,38,89.81,0.04,0.01,0.0,0.0,8.57,1.3,0.98,2.2,1.56,1.45,15,35,0,19,4,0.04,180,0,3.0,0.7,341.8,44.5,88.0,47.5
Maxime Estève,Burnley,Defender,39,96.13,0.02,0.02,0.03,0.0,8.79,1.31,0.98,2.2,1.56,1.45,15,35,0,19,6,0.06,180,0,3.0,6.9,671.6,91.6,95.0,86.0
Quilindschy Hartman,Burnley,Defender,40,98.72,0.02,0.14,0.05,0.0,4.91,2.56,0.98,2.2,1.56,1.45,15,35,0,19,8,0.11,183,0,3.0,0.6,409.6,285.7,83.0,77.9
Bashir Humphreys,Burnley,Defender,39,92.29,0.03,0.06,0.32,0.0,6.49,1.67,0.98,2.2,1.56,1.45,15,35,0,19,2,0.0,81,0,3.0,0.1,338.8,130.3,80.0,54.7
Lucas Pires Silva,Burnley,Defender,38,76.18,0.04,0.11,0.0,0.08,4.14,1.95,0.98,2.2,1.56,1.45,15,35,0,19,0,0.0,0,0,3.0,0.3,183.2,231.8,62.0,47.5
Axel Tuanzebe,Burnley,Defender,39,94.85,0.05,0.0,0.1,0.0,8.22,1.16,0.98,2.2,1.56,1.45,15,35,0,19,0,0.0,0,0,3.0,0.9,225.2,9.8,52.0,28.9
Jaidon Anthony,Burnley,Midfielder,50,81.38,0.18,0.15,0.15,0.0,1.75,1.45,0.98,2.2,1.56,1.45,15,35,0,19,4,0.07,168,0,3.0,1.9,519.6,496.6,548.0,156.4
Josh Cullen,Burnley,Midfielder,49,94.63,0.06,0.11,0.12,0.0,4.04,1.9,0.98,2.2,1.56,1.45,15,35,0,19,0,0.0,0,0,3.0,0.8,342.0,218.1,98.0,66.0
