full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.01,0.04,0.0,0.85,0.04,1.97,0.79,1.21,1.45,16,27.0,0,1
Gabriel dos Santos Magalhães,Arsenal,Defender,71,95.61,0.16,0.1,0.1,0.0,7.83,1.15,1.97,0.79,1.21,1.45,16,27.0,0,1
William Saliba,Arsenal,Defender,61,90.86,0.03,0.02,0.05,0.0,4.99,1.2,1.97,0.79,1.21,1.45,16,27.0,0,1
Riccardo Calafiori,Arsenal,Defender,56,77.28,0.17,0.02,0.32,0.0,4.08,2.0,1.97,0.79,1.21,1.45,16,27.0,0,1
Jurriën Timber,Arsenal,Defender,64,93.72,0.14,0.09,0.16,0.0,2.81,2.35,1.97,0.79,1.21,1.45,16,27.0,0,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,1.97,0.79,1.21,1.45,16,27.0,0,1
Bukayo Saka,Arsenal,Midfielder,98,79.71,0.38,0.33,0.05,0.0,0.99,1.6,1.97,0.79,1.21,1.45,16,27.0,0,1
Martin Ødegaard,Arsenal,Midfielder,78,61.52,0.09,0.31,0.0,0.0,1.11,1.45,1.97,0.79,1.21,1.45,16,27.0,0,1
Leandro Trossard,Arsenal,Midfielder,68,74.2,0.32,0.19,0.06,0.0,1.19,1.19,1.97,0.79,1.21,1.45,16,27.0,0,1
Declan Rice,Arsenal,Midfielder,76,95.85,0.14,0.25,0.08,0.0,3.83,1.89,1.97,0.79,1.21,1.45,16,27.0,0,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,53,94.44,0.1,0.03,0.16,0.0,3.81,1.83,1.97,0.79,1.21,1.45,16,27.0,0,1
