full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,61,100.0,0.0,0.0,0.03,0.0,0.97,0.03,2.03,0.87,1.28,1.79,18,36,0,1,16,0.0,180,0,4.0,35.4,516.2,33.5,0.0,55.0
Gabriel dos Santos Magalhães,Arsenal,Defender,72,96.82,0.16,0.1,0.14,0.0,7.84,1.28,2.03,0.87,1.28,1.79,18,36,0,1,14,0.64,180,0,4.0,45.1,776.2,125.8,279.0,118.0
William Saliba,Arsenal,Defender,62,93.07,0.06,0.05,0.04,0.0,5.36,1.22,2.03,0.87,1.28,1.79,18,36,0,1,13,0.0,180,0,4.0,15.7,510.8,196.0,82.0,78.9
Riccardo Calafiori,Arsenal,Defender,56,76.47,0.17,0.03,0.28,0.0,4.04,1.88,2.03,0.87,1.28,1.79,18,36,0,1,6,0.23,90,0,4.0,5.9,269.6,140.5,288.0,69.9
Jurriën Timber,Arsenal,Defender,60,91.67,0.15,0.09,0.18,0.0,3.01,2.42,2.03,0.87,1.28,1.79,18,36,0,1,0,0.0,0,0,4.0,16.1,499.0,402.6,352.0,125.7
Benjamin White,Arsenal,Defender,51,68.28,0.04,0.21,0.0,0.0,5.09,2.01,2.03,0.87,1.28,1.79,18,36,0,1,12,0.0,172,0,4.0,0.6,154.6,130.6,54.0,34.0
Bukayo Saka,Arsenal,Midfielder,99,79.16,0.37,0.34,0.04,0.0,1.1,1.54,2.03,0.87,1.28,1.79,18,36,0,1,12,0.34,54,1,4.0,11.1,596.2,785.6,796.0,218.1
Martin Ødegaard,Arsenal,Midfielder,78,62.47,0.08,0.35,0.0,0.0,0.94,1.37,2.03,0.87,1.28,1.79,18,36,0,1,3,0.03,90,0,4.0,1.6,287.0,531.1,159.0,97.6
Leandro Trossard,Arsenal,Midfielder,65,70.73,0.29,0.23,0.05,0.0,1.29,1.29,2.03,0.87,1.28,1.79,18,36,0,1,7,0.11,90,0,4.0,0.8,455.6,514.8,475.0,144.8
Declan Rice,Arsenal,Midfielder,72,95.78,0.11,0.24,0.09,0.0,3.61,1.95,2.03,0.87,1.28,1.79,18,36,0,1,7,0.0,153,0,4.0,23.9,785.2,985.2,292.0,206.4
Martín Zubimendi Ibáñez,Arsenal,Midfielder,50,92.25,0.09,0.03,0.12,0.0,3.74,2.11,2.03,0.87,1.28,1.79,18,36,0,1,6,0.07,106,0,4.0,2.9,585.2,364.8,271.0,122.3
Eberechi Eze,Arsenal,Midfielder,73,65.59,0.21,0.13,0.05,0.0,1.09,0.94,2.03,0.87,1.28,1.79,18,36,0,1,9,0.38,129,0,4.0,8.8,374.6,274.3,398.0,104.4
Viktor Gyökeres,Arsenal,Forward,89,72.29,0.56,0.1,0.21,0.0,0.94,0.26,2.03,0.87,1.28,1.79,18,36,0,1,17,1.73,119,1,4.0,15.2,534.2,238.4,753.0,151.8
Piero Hincapié,Arsenal,Defender,51,81.16,0.02,0.11,0.11,0.0,6.33,2.52,2.03,0.87,1.28,1.79,18,36,0,1,9,0.0,90,0,4.0,0.9,434.8,181.0,61.0,67.5
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.41,0.0,0.0,0.07,0.0,0.88,0.0,1.41,1.49,0.96,2.19,19,36,0,5,5,0.0,180,0,8.0,4.8,707.2,13.2,0.0,71.9
Marco Bizot,Aston Villa,Goalkeeper,42,91.3,0.0,0.0,0.18,0.0,1.27,0.0,1.41,1.49,0.96,2.19,19,36,0,5,0,0.0,0,0,8.0,0.4,118.2,0.0,0.0,11.8
Matty Cash,Aston Villa,Defender,47,98.12,0.04,0.1,0.25,0.0,3.66,2.06,1.41,1.49,0.96,2.19,19,36,0,5,7,0.0,180,0,8.0,8.1,618.4,467.0,215.0,130.1
Lucas Digne,Aston Villa,Defender,45,67.2,0.03,0.14,0.15,0.0,3.68,1.76,1.41,1.49,0.96,2.19,19,36,0,5,2,0.02,90,0,8.0,1.6,367.2,424.5,126.0,91.7
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.17,0.03,0.02,0.0,0.03,5.2,0.66,1.41,1.49,0.96,2.19,19,36,0,5,2,0.0,90,0,8.0,7.5,572.2,106.1,122.0,80.6
Tyrone Mings,Aston Villa,Defender,43,84.0,0.12,0.06,0.0,0.0,6.62,0.32,1.41,1.49,0.96,2.19,19,36,0,5,1,0.22,90,0,8.0,0.6,235.2,74.3,103.0,41.3
Pau Torres,Aston Villa,Defender,43,92.11,0.04,0.0,0.06,0.0,4.83,1.21,1.41,1.49,0.96,2.19,19,36,0,5,1,0.0,90,0,8.0,0.3,302.4,46.5,55.0,40.7
Morgan Rogers,Aston Villa,Midfielder,75,99.08,0.2,0.19,0.2,0.0,1.36,1.1,1.41,1.49,0.96,2.19,19,36,0,5,3,0.18,180,0,8.0,23.9,676.4,638.6,834.0,214.6
Youri Tielemans,Aston Villa,Midfielder,59,84.19,0.09,0.15,0.0,0.0,2.55,2.82,1.41,1.49,0.96,2.19,19,36,0,5,4,0.04,163,0,8.0,0.7,383.2,460.7,160.0,100.5
John McGinn,Aston Villa,Midfielder,53,84.03,0.11,0.18,0.18,0.0,1.42,1.24,1.41,1.49,0.96,2.19,19,36,0,5,2,0.0,73,0,8.0,0.7,394.2,553.7,237.0,118.3
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.41,1.49,0.96,2.19,19,36,0,5,0,0.0,0,0,8.0,0.2,325.0,241.3,75.0,64.2
Amadou Onana,Aston Villa,Midfielder,48,82.36,0.14,0.03,0.15,0.0,5.07,2.43,1.41,1.49,0.96,2.19,19,36,0,5,0,0.0,0,0,8.0,0.6,409.6,151.1,178.0,73.9
Ollie Watkins,Aston Villa,Forward,88,86.21,0.51,0.09,0.1,0.0,0.74,0.74,1.41,1.49,0.96,2.19,19,36,0,5,3,0.41,109,0,8.0,14.6,523.4,310.7,960.0,178.8
Kyle Walker,Burnley,Defender,44,95.32,0.0,0.05,0.29,0.0,4.75,1.56,0.96,2.19,1.41,1.49,5,36,1,19,3,0.03,180,0,6.0,1.1,470.2,217.3,26.0,71.6
Hjalmar Ekdal,Burnley,Defender,38,90.35,0.04,0.01,0.0,0.0,8.77,1.4,0.96,2.19,1.41,1.49,5,36,1,19,7,0.04,180,0,6.0,0.7,372.0,55.8,88.0,51.7
Maxime Estève,Burnley,Defender,39,96.25,0.01,0.02,0.03,0.0,8.9,1.3,0.96,2.19,1.41,1.49,5,36,1,19,7,0.0,180,0,6.0,6.8,698.6,92.1,97.0,89.0
Quilindschy Hartman,Burnley,Defender,40,97.51,0.02,0.14,0.05,0.0,4.98,2.56,0.96,2.19,1.41,1.49,5,36,1,19,5,0.11,154,0,6.0,0.6,422.2,288.8,83.0,79.5
Bashir Humphreys,Burnley,Defender,39,91.91,0.03,0.05,0.36,0.0,6.65,1.65,0.96,2.19,1.41,1.49,5,36,1,19,2,0.05,156,0,6.0,0.1,356.0,132.1,99.0,58.5
Lucas Pires Silva,Burnley,Defender,38,73.27,0.04,0.11,0.0,0.08,4.04,1.9,0.96,2.19,1.41,1.49,5,36,1,19,1,0.0,25,0,6.0,0.3,189.0,247.2,64.0,49.8
