full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.0,0.04,0.0,0.83,0.04,1.99,0.81,1.54,1.38,16,24,0,1
Gabriel dos Santos Magalhães,Arsenal,Defender,69,94.58,0.19,0.11,0.06,0.0,7.47,1.0,1.99,0.81,1.54,1.38,16,24,0,1
William Saliba,Arsenal,Defender,60,89.42,0.03,0.02,0.0,0.0,4.81,1.17,1.99,0.81,1.54,1.38,16,24,0,1
Riccardo Calafiori,Arsenal,Defender,56,90.14,0.16,0.03,0.35,0.0,4.08,2.01,1.99,0.81,1.54,1.38,16,24,0,1
Jurriën Timber,Arsenal,Defender,63,92.58,0.15,0.07,0.15,0.0,2.97,2.37,1.99,0.81,1.54,1.38,16,24,0,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,1.99,0.81,1.54,1.38,16,24,0,1
Bukayo Saka,Arsenal,Midfielder,100,82.17,0.38,0.34,0.06,0.0,0.64,1.52,1.99,0.81,1.54,1.38,16,24,0,1
Martin Ødegaard,Arsenal,Midfielder,78,64.18,0.1,0.27,0.0,0.0,1.19,1.46,1.99,0.81,1.54,1.38,16,24,0,1
Leandro Trossard,Arsenal,Midfielder,68,74.21,0.36,0.19,0.07,0.0,1.01,1.01,1.99,0.81,1.54,1.38,16,24,0,1
Declan Rice,Arsenal,Midfielder,74,95.1,0.17,0.23,0.1,0.0,3.84,1.87,1.99,0.81,1.54,1.38,16,24,0,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,93.48,0.08,0.04,0.19,0.0,3.78,1.89,1.99,0.81,1.54,1.38,16,24,0,1
Eberechi Eze,Arsenal,Midfielder,73,66.42,0.17,0.17,0.08,0.0,1.2,1.03,1.99,0.81,1.54,1.38,16,24,0,1
Viktor Gyökeres,Arsenal,Forward,87,74.44,0.44,0.09,0.19,0.0,0.92,0.26,1.99,0.81,1.54,1.38,16,24,0,1
Piero Hincapié,Arsenal,Defender,51,81.28,0.0,0.04,0.19,0.0,6.18,1.9,1.99,0.81,1.54,1.38,16,24,0,1
Emiliano Martínez Romero,Aston Villa,Goalkeeper,50,97.49,0.0,0.0,0.05,0.0,0.81,0.0,1.39,1.57,1.86,1.39,8,24,1,3
Marco Bizot,Aston Villa,Goalkeeper,42,89.56,0.0,0.0,0.22,0.0,1.33,0.0,1.39,1.57,1.86,1.39,8,24,1,3
Matty Cash,Aston Villa,Defender,48,99.14,0.04,0.11,0.23,0.0,4.01,1.66,1.39,1.57,1.86,1.39,8,24,1,3
Lucas Digne,Aston Villa,Defender,45,62.22,0.04,0.14,0.22,0.0,3.38,1.54,1.39,1.57,1.86,1.39,8,24,1,3
Ezri Konsa Ngoyo,Aston Villa,Defender,44,98.79,0.02,0.03,0.0,0.05,5.34,0.64,1.39,1.57,1.86,1.39,8,24,1,3
Tyrone Mings,Aston Villa,Defender,43,70.0,0.05,0.03,0.0,0.0,7.38,0.35,1.39,1.57,1.86,1.39,8,24,1,3
Pau Torres,Aston Villa,Defender,43,89.29,0.05,0.0,0.0,0.0,5.4,1.37,1.39,1.57,1.86,1.39,8,24,1,3
Morgan Rogers,Aston Villa,Midfielder,77,99.52,0.17,0.2,0.17,0.0,1.32,1.1,1.39,1.57,1.86,1.39,8,24,1,3
Youri Tielemans,Aston Villa,Midfielder,59,85.1,0.11,0.18,0.0,0.0,2.29,2.64,1.39,1.57,1.86,1.39,8,24,1,3
John McGinn,Aston Villa,Midfielder,54,83.99,0.13,0.11,0.16,0.0,1.64,1.53,1.39,1.57,1.86,1.39,8,24,1,3
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.39,1.57,1.86,1.39,8,24,1,3
Amadou Onana,Aston Villa,Midfielder,48,74.74,0.07,0.03,0.18,0.0,5.45,2.77,1.39,1.57,1.86,1.39,8,24,1,3
Ollie Watkins,Aston Villa,Forward,88,85.99,0.54,0.07,0.05,0.0,0.72,0.78,1.39,1.57,1.86,1.39,8,24,1,3
Kyle Walker,Burnley,Defender,44,99.44,0.0,0.06,0.32,0.0,4.9,1.56,0.96,2.24,1.02,1.63,10,24,0,19
Hjalmar Ekdal,Burnley,Defender,39,87.78,0.04,0.01,0.0,0.0,8.63,1.45,0.96,2.24,1.02,1.63,10,24,0,19
Maxime Estève,Burnley,Defender,39,94.83,0.01,0.04,0.0,0.0,8.79,1.22,0.96,2.24,1.02,1.63,10,24,0,19
Quilindschy Hartman,Burnley,Defender,40,99.7,0.01,0.12,0.07,0.0,4.91,2.09,0.96,2.24,1.02,1.63,10,24,0,19
Bashir Humphreys,Burnley,Defender,39,83.65,0.03,0.0,0.34,0.0,7.34,1.88,0.96,2.24,1.02,1.63,10,24,0,19
Lucas Pires Silva,Burnley,Defender,38,83.46,0.05,0.03,0.0,0.13,4.36,2.11,0.96,2.24,1.02,1.63,10,24,0,19
Axel Tuanzebe,Burnley,Defender,39,98.78,0.06,0.0,0.1,0.0,8.23,1.12,0.96,2.24,1.02,1.63,10,24,0,19
Jaidon Anthony,Burnley,Midfielder,50,73.84,0.19,0.09,0.18,0.0,1.82,1.64,0.96,2.24,1.02,1.63,10,24,0,19
Josh Cullen,Burnley,Midfielder,49,94.63,0.06,0.11,0.12,0.0,4.04,1.9,0.96,2.24,1.02,1.63,10,24,0,19
Lyle Foster,Burnley,Forward,49,65.21,0.25,0.08,0.29,0.0,1.77,0.98,0.96,2.24,1.02,1.63,10,24,0,19
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.0,0.0,2.04,0.0,0.96,2.24,1.02,1.63,10,24,0,19
James Ward-Prowse,Burnley,Midfielder,56,92.67,0.02,0.31,0.0,0.0,1.96,0.87,0.96,2.24,1.02,1.63,10,24,0,19
Lesley Ugochukwu,Burnley,Midfielder,50,75.4,0.14,0.02,0.0,0.06,2.66,2.29,0.96,2.24,1.02,1.63,10,24,0,19
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,87.31,0.06,0.03,0.18,0.0,4.41,4.29,0.96,2.24,1.02,1.63,10,24,0,19
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.09,0.0,1.96,0.0,1.75,1.43,0.88,1.56,20,24,0,13
Marcos Senesi Barón,Bournemouth,Defender,48,98.38,0.06,0.14,0.32,0.0,11.15,1.9,1.75,1.43,0.88,1.56,20,24,0,13
Adrien Truffert,Bournemouth,Defender,45,98.6,0.02,0.05,0.13,0.0,5.41,2.93,1.75,1.43,0.88,1.56,20,24,0,13
