full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,total_minutes,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.69,0.42,3.21,1.6,4,3,1,2,12,0.0,180,180.0,0,5.0,38.0,5.9,0.9054054054054056,0.0,0.6
Gabriel dos Santos Magalhães,Arsenal,Defender,80,100.0,0.18,0.0,0.5,0.0,6.0,1.0,1.69,0.42,3.21,1.6,4,3,1,2,13,0.18,180,180.0,0,5.0,27.5,3.3,0.9,0.5,0.45
Myles Lewis-Skelly,Arsenal,Midfielder,55,90.0,0.05,0.03,0.0,0.0,2.81,0.56,1.69,0.42,3.21,1.6,4,3,1,2,6,0.13,160,160.0,0,5.0,0.7,6.1875,12.88125,3.9375,2.30625
Riccardo Calafiori,Arsenal,Defender,56,96.11,0.07,0.54,0.0,0.0,3.18,1.06,1.69,0.42,3.21,1.6,4,3,1,2,20,0.15,170,170.0,0,5.0,42.1,13.764705882352942,6.458823529411765,2.1176470588235294,2.223529411764706
Benjamin White,Arsenal,Defender,55,100.0,0.06,0.11,0.0,0.0,3.5,1.0,1.69,0.42,3.21,1.6,4,3,1,2,18,0.18,180,180.0,0,5.0,7.0,16.6,13.4,6.5,3.65
Cristhian Mosquera,Arsenal,Defender,55,94.44,0.0,0.0,0.0,0.0,5.36,0.0,1.69,0.42,3.21,1.6,4,3,1,2,12,0.0,168,168.0,0,5.0,5.3,7.714285714285714,0.3214285714285714,,0.8035714285714286
Bukayo Saka,Arsenal,Midfielder,95,88.89,0.99,0.03,0.0,0.0,2.87,1.72,1.69,0.42,3.21,1.6,4,3,1,2,20,1.27,157,157.0,1,5.0,10.3,24.535031847133755,14.961783439490446,18.9171974522293,5.847133757961783
Declan Rice,Arsenal,Midfielder,75,86.67,0.02,0.05,0.0,0.0,2.98,1.79,1.69,0.42,3.21,1.6,4,3,1,2,8,0.07,151,151.0,0,5.0,15.7,4.052980132450331,3.8145695364238414,1.1920529801324504,0.8940397350993379
Martin Ødegaard,Arsenal,Midfielder,66,83.33,0.19,0.17,0.0,0.0,1.86,3.1,1.69,0.42,3.21,1.6,4,3,1,2,14,0.29,145,145.0,0,5.0,11.7,31.406896551724138,25.758620689655174,19.24137931034483,7.63448275862069
Kai Havertz,Arsenal,Forward,75,100.0,0.07,0.02,0.0,0.0,1.0,0.0,1.69,0.42,3.21,1.6,4,3,1,2,8,0.28,180,180.0,0,5.0,7.3,18.6,6.6,12.5,3.75
Christos Tzolis,Arsenal,Midfielder,65,69.44,0.17,0.17,0.72,0.0,2.25,0.75,1.69,0.42,3.21,1.6,4,3,1,2,6,0.19,120,120.0,0,5.0,24.3,12.75,29.849999999999998,22.5,6.5249999999999995
Marco Bizot,Aston Villa,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.28,2.76,0.98,1.48,3,3,0,19,1,0.0,90,90.0,0,0.0,0.1,28.2,0.0,0.0,2.8
Matty Cash,Aston Villa,Defender,45,93.89,0.04,0.0,0.53,0.0,3.77,3.23,0.28,2.76,0.98,1.48,3,3,0,19,1,0.15,167,167.0,0,0.0,7.2,6.467065868263473,0.5928143712574852,6.594827586206896,0.7005988023952097
Pau Torres,Aston Villa,Defender,45,93.89,0.0,0.0,0.0,0.0,4.42,0.55,0.28,2.76,0.98,1.48,3,3,0,19,2,0.0,163,163.0,0,0.0,0.4,17.311416616855947,0.38650306748466257,4.249850567842199,2.426180514046623
Ian Maatsen,Aston Villa,Defender,45,98.33,0.05,0.0,0.51,0.0,6.32,2.63,0.28,2.76,0.98,1.48,3,3,0,19,1,0.1,171,171.0,0,0.0,0.7,4.842105263157894,0.42105263157894735,1.5789473684210527,0.6842105263157895
Victor Lindelöf,Aston Villa,Defender,45,100.0,0.0,0.0,0.0,0.0,4.5,0.5,0.28,2.76,0.98,1.48,3,3,0,19,0,0.0,180,180.0,0,0.0,0.3,0.9,0.05,2.1019108280254777,0.1
Emiliano Buendía Stati,Aston Villa,Midfielder,60,100.0,0.07,0.06,0.0,0.0,1.54,1.03,0.28,2.76,0.98,1.48,3,3,0,19,4,0.17,175,175.0,1,0.0,1.1,,8.382857142857143,4.114285714285714,1.1314285714285715
John McGinn,Aston Villa,Midfielder,55,98.33,0.05,0.04,1.02,0.0,1.58,1.05,0.28,2.76,0.98,1.48,3,3,0,19,2,0.09,171,171.0,0,0.0,2.6,0.8421052631578947,1.263157894736842,0.5263157894736842,0.2631578947368421
Ross Barkley,Aston Villa,Midfielder,50,87.78,0.08,0.1,0.0,0.0,1.2,1.8,0.28,2.76,0.98,1.48,3,3,0,19,4,0.13,150,150.0,0,0.0,0.2,5.64,12.839999999999998,4.2,2.28
Boubacar Kamara,Aston Villa,Midfielder,50,100.0,0.0,0.01,0.0,0.0,3.0,1.5,0.28,2.76,0.98,1.48,3,3,0,19,4,0.0,180,180.0,0,0.0,0.3,5.6,1.4,4.787234042553191,0.7
George Hemmings,Aston Villa,Midfielder,45,90.0,0.0,0.01,0.0,0.0,0.0,2.81,0.28,2.76,0.98,1.48,3,3,0,19,4,0.0,160,160.0,0,0.0,0.8,5.9624999999999995,6.5249999999999995,1.125,1.3499999999999999
Nicolas Jackson,Aston Villa,Forward,65,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.76,0.98,1.48,3,3,0,19,2,0.0,70,70.0,0,0.0,0.6,,,,
Zion Suzuki,Aston Villa,Goalkeeper,50,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.28,2.76,0.98,1.48,3,3,0,19,2,0.0,90,90.0,0,0.0,0.9,,,,
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.5,0.0,1.48,2.07,1.3,2.13,6,3,0,14,5,0.0,180,180.0,0,2.0,3.4,18.4,0.0,0.0,1.85
James Hill,Bournemouth,Defender,55,100.0,0.0,0.35,0.0,0.0,7.0,2.0,1.48,2.07,1.3,2.13,6,3,0,14,5,0.0,180,180.0,0,2.0,0.9,5.8,0.15,5.095147478591817,0.6
Adrien Truffert,Bournemouth,Defender,55,100.0,0.0,0.07,0.0,0.0,6.0,2.0,1.48,2.07,1.3,2.13,6,3,0,14,5,0.0,180,180.0,0,2.0,4.0,7.7,0.65,5.1687388987566605,0.85
Adam Smith,Bournemouth,Defender,45,100.0,0.0,0.03,0.5,0.0,4.0,1.5,1.48,2.07,1.3,2.13,6,3,0,14,2,0.0,180,180.0,0,2.0,0.1,3.5,0.3,,0.4
Marcus Tavernier,Bournemouth,Midfielder,60,100.0,0.3,0.09,0.5,0.0,1.5,3.0,1.48,2.07,1.3,2.13,6,3,0,14,11,0.49,180,180.0,0,2.0,2.4,20.0,8.6,9.0,3.75
Alex Scott,Bournemouth,Midfielder,60,99.44,0.08,0.11,0.5,0.0,2.05,3.58,1.48,2.07,1.3,2.13,6,3,0,14,14,0.26,176,176.0,0,2.0,1.8,5.829545454545455,2.4545454545454546,9.922752808988765,0.8181818181818182
Justin Kluivert,Bournemouth,Midfielder,60,88.89,0.5,0.11,0.0,0.0,0.58,1.75,1.48,2.07,1.3,2.13,6,3,0,14,6,0.72,154,154.0,1,2.0,1.2,6.428571428571428,8.357142857142858,9.935064935064934,2.4545454545454546
Lewis Cook,Bournemouth,Midfielder,50,82.78,0.0,0.02,0.0,0.0,1.89,0.63,1.48,2.07,1.3,2.13,6,3,0,14,6,0.0,143,143.0,0,2.0,0.2,2.895104895104895,1.3216783216783217,1.2385321100917432,0.4405594405594405
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,60,88.89,0.14,0.47,0.56,0.0,2.92,0.58,1.48,2.07,1.3,2.13,6,3,0,14,9,0.58,154,154.0,0,2.0,3.2,11.337662337662337,6.954545454545454,1.1688311688311688,1.9285714285714284
Caoimhín Kelleher,Brentford,Goalkeeper,50,100.0,0.0,0.0,0.0,0.0,1.0,0.0,2.83,0.95,1.37,1.3,11,3,1,5,9,0.0,180,180.0,0,2.0,6.9,15.7,0.6216216216216217,0.0,1.55
Nathan Collins,Brentford,Defender,55,100.0,0.3,0.04,0.5,0.0,7.0,1.0,2.83,0.95,1.37,1.3,11,3,1,5,9,0.51,180,180.0,0,2.0,2.1,5.8,10.75,8.5,2.5
Keane Lewis-Potter,Brentford,Midfielder,55,100.0,0.29,0.08,0.0,0.0,3.56,1.53,2.83,0.95,1.37,1.3,11,3,1,5,16,0.79,177,177.0,0,2.0,1.6,24.0,8.084745762711865,9.661016949152541,4.169491525423728
Kristoffer Ajer,Brentford,Defender,45,100.0,0.04,0.03,0.5,0.0,12.5,1.0,2.83,0.95,1.37,1.3,11,3,1,5,11,0.11,180,180.0,0,2.0,4.5,10.0,0.45,17.5,2.8
Michael Kayode,Brentford,Defender,46,92.78,0.45,0.03,0.0,0.0,3.89,0.56,2.83,0.95,1.37,1.3,11,3,1,5,15,0.52,162,162.0,0,2.0,8.9,18.77777777777778,0.8333333333333334,25.555555555555557,4.5
Kevin Schade,Brentford,Midfielder,60,100.0,0.35,0.06,0.0,0.0,2.03,2.54,2.83,0.95,1.37,1.3,11,3,1,5,13,0.77,177,177.0,1,2.0,3.7,7.322033898305085,6.0,30.0,4.322033898305085
Mathias Jensen,Brentford,Midfielder,55,75.56,0.12,0.79,0.0,0.0,0.0,2.73,2.83,0.95,1.37,1.3,11,3,1,5,6,0.08,66,66.0,0,2.0,0.2,17.18181818181818,35.1310752688172,17.727272727272727,8.402584566596195
Vitaly Janelt,Brentford,Midfielder,50,100.0,0.24,0.07,1.0,0.0,5.5,3.5,2.83,0.95,1.37,1.3,11,3,1,5,10,0.39,180,180.0,0,2.0,0.6,26.6,19.4,12.0,5.8
Igor Thiago Nascimento Rodrigues,Brentford,Forward,80,96.67,0.93,0.0,0.0,0.0,0.52,0.52,2.83,0.95,1.37,1.3,11,3,1,5,2,1.8,172,172.0,1,2.0,15.0,1.1511627906976747,2.0930232558139537,4.186046511627907,0.7325581395348837
Mamadou Sangaré,Brentford,Midfielder,56,92.78,0.13,0.34,0.0,0.0,4.91,3.27,2.83,0.95,1.37,1.3,11,3,1,5,18,0.26,165,165.0,0,2.0,11.3,17.236363636363635,11.89090909090909,11.454545454545453,4.036363636363636
Bart Verbruggen,Brighton,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.05,0.81,1.14,8,3,1,9,6,0.0,180,180.0,0,1.0,21.5,3.3,0.2631578947368421,0.0,0.35
Ferdi Kadıoğlu,Brighton,Defender,44,100.0,0.02,0.01,0.0,0.0,0.0,0.0,2.9,2.05,0.81,1.14,8,3,1,9,0,0.02,90,90.0,0,1.0,2.1,14.520766773162938,12.789776357827476,8.166134185303514,3.5568690095846645
Olivier Boscagli,Brighton,Defender,45,100.0,0.02,0.08,0.5,0.0,4.0,0.5,2.9,2.05,0.81,1.14,8,3,1,9,5,0.05,180,180.0,0,1.0,0.3,7.6,3.65,3.0,1.45
