full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,total_minutes,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.0,0.0,1.33,0.0,2.06,0.42,2.67,2.11,10,5,0,2,9,0.0,180,270.0,0,5.0,39.2,15.4,0.9054054054054056,0.0,1.5666666666666667
Gabriel dos Santos Magalhães,Arsenal,Defender,80,100.0,0.34,0.0,0.33,0.0,6.33,0.67,2.06,0.42,2.67,2.11,10,5,0,2,10,0.44,180,270.0,0,5.0,23.8,16.133333333333333,2.466666666666667,27.666666666666664,4.6
Myles Lewis-Skelly,Arsenal,Midfielder,55,86.3,0.06,0.05,0.0,0.0,1.99,0.4,2.06,0.42,2.67,2.11,10,5,0,2,5,0.1,136,226.0,0,5.0,0.7,8.601769911504425,15.451327433628318,6.371681415929204,2.7876106194690267
Riccardo Calafiori,Arsenal,Defender,58,90.37,0.26,0.38,0.0,0.0,2.29,1.14,2.06,0.42,2.67,2.11,10,5,0,2,13,0.5,156,236.0,0,5.0,49.5,19.677966101694913,10.411016949152541,14.872881355932202,4.5
Benjamin White,Arsenal,Defender,55,100.0,0.04,0.07,0.0,0.0,3.67,1.33,2.06,0.42,2.67,2.11,10,5,0,2,9,0.0,180,270.0,0,5.0,7.6,21.8,17.4,7.666666666666666,4.699999999999999
Cristhian Mosquera,Arsenal,Defender,54,94.44,0.0,0.0,0.0,0.0,5.36,0.0,2.06,0.42,2.67,2.11,10,5,0,2,6,0.0,78,168.0,0,5.0,2.3,13.178571428571429,1.0714285714285714,,1.4464285714285714
Bukayo Saka,Arsenal,Midfielder,95,92.59,0.83,0.03,0.0,0.0,2.2,1.46,2.06,0.42,2.67,2.11,10,5,0,2,13,0.86,179,246.0,1,5.0,11.8,34.53658536585366,22.646341463414632,53.78048780487805,11.085365853658537
Declan Rice,Arsenal,Midfielder,74,91.11,0.03,0.04,0.0,0.0,3.73,1.12,2.06,0.42,2.67,2.11,10,5,0,2,10,0.03,174,241.0,0,5.0,12.9,24.12448132780083,20.12863070539419,1.4937759336099585,4.593360995850623
Martin Ødegaard,Arsenal,Midfielder,67,85.56,0.39,0.48,0.0,0.0,1.22,2.04,2.06,0.42,2.67,2.11,10,5,0,2,13,0.8,146,221.0,0,5.0,19.0,41.70135746606335,41.7420814479638,26.877828054298643,11.036199095022624
Kai Havertz,Arsenal,Forward,75,97.04,0.11,0.12,0.0,0.0,1.05,0.0,2.06,0.42,2.67,2.11,10,5,0,2,10,0.29,167,257.0,0,5.0,8.1,28.926070038910503,18.770428015564203,36.7704280155642,8.439688715953308
