full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,total_minutes,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90
Christos Tzolis,Arsenal,Midfielder,64,79.63,0.1,0.44,0.84,0.0,2.14,0.86,2.06,0.42,2.67,2.11,10,5,0,2,5,0.0,135,210.0,0,5.0,15.5,20.4,43.54285714285714,16.285714285714285,8.057142857142857
Marco Bizot,Aston Villa,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.73,2.11,1.12,1.96,18,5,0,17,0,0.0,0,90.0,0,5.0,0.1,28.2,0.0,0.0,2.8
Matty Cash,Aston Villa,Defender,45,94.44,0.03,0.02,0.35,0.0,2.87,2.15,0.73,2.11,1.12,1.96,18,5,0,17,8,0.15,161,251.0,0,5.0,6.0,11.617529880478088,6.884462151394422,4.661354581673307,2.3306772908366535
Pau Torres,Aston Villa,Defender,45,93.89,0.0,0.0,0.0,0.0,4.42,0.55,0.73,2.11,1.12,1.96,18,5,0,17,2,0.0,90,163.0,0,5.0,0.4,6.073619631901841,0.8282208588957056,4.249850567842199,0.6625766871165645
Ian Maatsen,Aston Villa,Defender,45,93.7,0.04,0.04,0.36,0.0,5.14,2.2,0.73,2.11,1.12,1.96,18,5,0,17,8,0.07,164,245.0,0,5.0,0.9,9.036734693877552,7.751020408163266,6.979591836734694,2.3510204081632655
Victor Lindelöf,Aston Villa,Defender,45,100.0,0.0,0.02,0.0,0.0,4.33,0.33,0.73,2.11,1.12,1.96,18,5,0,17,8,0.0,180,270.0,0,5.0,0.3,13.066666666666666,8.733333333333333,0.6666666666666666,2.2333333333333334
Emiliano Buendía Stati,Aston Villa,Midfielder,59,94.81,0.21,0.04,0.0,0.0,1.08,0.72,0.73,2.11,1.12,1.96,18,5,0,17,5,0.65,164,249.0,1,5.0,1.0,1.8072289156626506,14.566265060240962,8.674698795180722,2.2771084337349397
John McGinn,Aston Villa,Midfielder,54,98.89,0.19,0.03,0.67,0.0,1.38,1.38,0.73,2.11,1.12,1.96,18,5,0,17,4,0.73,180,261.0,0,5.0,2.3,1.0344827586206897,6.8965517241379315,5.172413793103448,1.1379310344827587
Ross Barkley,Aston Villa,Midfielder,50,91.85,0.11,0.19,0.0,0.0,1.5,1.12,0.73,2.11,1.12,1.96,18,5,0,17,5,0.25,167,240.0,0,5.0,0.3,13.424999999999999,29.549999999999997,9.0,5.2125
Boubacar Kamara,Aston Villa,Midfielder,50,100.0,0.0,0.01,0.0,0.0,3.0,1.33,0.73,2.11,1.12,1.96,18,5,0,17,5,0.0,180,270.0,0,5.0,0.3,11.799999999999999,14.4,4.787234042553191,2.6333333333333333
George Hemmings,Aston Villa,Midfielder,45,88.15,0.1,0.16,0.0,0.0,0.77,2.31,0.73,2.11,1.12,1.96,18,5,0,17,5,0.07,144,234.0,0,5.0,1.4,8.923076923076923,11.307692307692308,8.846153846153847,2.8846153846153846
Nicolas Jackson,Aston Villa,Forward,65,87.78,0.09,0.26,0.0,0.0,0.0,0.0,0.73,2.11,1.12,1.96,18,5,0,17,4,0.24,154,154.0,1,5.0,1.3,3.155844155844156,13.675324675324674,12.857142857142856,2.9805194805194803
Zion Suzuki,Aston Villa,Goalkeeper,50,100.0,0.0,0.0,0.0,0.0,1.5,0.0,0.73,2.11,1.12,1.96,18,5,0,17,12,0.0,180,180.0,0,5.0,1.9,20.4,,,2.05
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.53,1.64,1.72,1.69,6,5,1,15,4,0.0,180,270.0,0,4.0,3.2,24.666666666666664,0.0,0.0,2.466666666666667
James Hill,Bournemouth,Defender,55,100.0,0.0,0.24,0.0,0.0,6.67,1.33,1.53,1.64,1.72,1.69,6,5,1,15,5,0.0,180,270.0,0,4.0,0.8,18.0,17.599999999999998,2.0,3.7666666666666666
Adrien Truffert,Bournemouth,Defender,55,100.0,0.01,0.09,0.33,0.0,5.0,2.33,1.53,1.64,1.72,1.69,6,5,1,15,4,0.01,180,270.0,0,4.0,3.4,17.799999999999997,13.566666666666666,2.0,3.3666666666666663
Adam Smith,Bournemouth,Defender,45,100.0,0.01,0.05,0.67,0.0,3.67,1.33,1.53,1.64,1.72,1.69,6,5,1,15,1,0.01,180,270.0,0,4.0,0.1,10.733333333333334,13.866666666666667,1.3333333333333333,2.5999999999999996
Marcus Tavernier,Bournemouth,Midfielder,60,100.0,0.49,0.07,0.33,0.0,1.01,2.35,1.53,1.64,1.72,1.69,6,5,1,15,11,1.1,178,268.0,0,4.0,3.9,34.11940298507463,23.070895522388064,35.59701492537314,9.268656716417912
Alex Scott,Bournemouth,Midfielder,61,99.63,0.08,0.09,0.33,0.0,3.05,2.37,1.53,1.64,1.72,1.69,6,5,1,15,22,0.33,176,266.0,0,4.0,6.1,24.49624060150376,20.233082706766915,11.165413533834586,5.582706766917293
Justin Kluivert,Bournemouth,Midfielder,60,88.52,0.36,0.08,0.38,0.0,0.39,1.57,1.53,1.64,1.72,1.69,6,5,1,15,4,0.67,155,229.0,1,4.0,1.0,8.724890829694322,16.978165938864628,30.26200873362445,5.462882096069869
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,60,92.59,0.27,0.3,0.36,0.0,3.32,0.37,1.53,1.64,1.72,1.69,6,5,1,15,7,0.71,170,244.0,0,4.0,3.3,13.868852459016395,14.459016393442624,16.598360655737707,4.463114754098361
Caoimhín Kelleher,Brentford,Goalkeeper,50,100.0,0.0,0.0,0.0,0.0,1.33,0.0,2.41,1.35,2.28,2.0,4,5,1,5,4,0.0,180,270.0,0,7.0,6.6,19.2,0.6216216216216217,0.0,1.9
Nathan Collins,Brentford,Defender,55,72.59,0.28,0.03,0.46,0.0,6.89,0.92,2.41,1.35,2.28,2.0,4,5,1,5,4,0.17,106,196.0,0,7.0,1.4,18.642857142857142,10.285714285714285,23.418367346938776,5.23469387755102
Keane Lewis-Potter,Brentford,Midfielder,55,100.0,0.34,0.25,0.0,0.0,3.71,1.35,2.41,1.35,2.28,2.0,4,5,1,5,8,0.26,177,267.0,0,7.0,2.1,31.617977528089884,31.213483146067414,14.49438202247191,7.719101123595505
Kristoffer Ajer,Brentford,Defender,45,100.0,0.03,0.02,0.33,0.0,10.0,0.67,2.41,1.35,2.28,2.0,4,5,1,5,5,0.0,180,270.0,0,7.0,4.5,23.199999999999996,7.3999999999999995,12.333333333333332,4.3
Michael Kayode,Brentford,Defender,46,81.85,0.35,0.02,0.0,0.0,5.22,0.43,2.41,1.35,2.28,2.0,4,5,1,5,3,0.05,132,207.0,0,7.0,8.7,24.26086956521739,7.739130434782608,24.34782608695652,5.608695652173913
Jannik Schuster,Brentford,Defender,45,82.22,0.13,0.0,0.0,0.0,12.33,0.0,2.41,1.35,2.28,2.0,4,5,1,5,4,0.1,73,73.0,0,7.0,0.1,21.205479452054796,0.24657534246575344,4.931506849315069,2.589041095890411
Kevin Schade,Brentford,Midfielder,60,100.0,0.23,0.05,0.0,0.0,1.35,1.69,2.41,1.35,2.28,2.0,4,5,1,5,12,0.25,177,267.0,1,7.0,3.5,21.573033707865168,12.202247191011237,34.04494382022472,6.775280898876405
Mikkel Damsgaard,Brentford,Midfielder,55,64.81,0.03,0.36,0.0,0.0,1.62,1.62,2.41,1.35,2.28,2.0,4,5,1,5,11,0.03,153,167.0,0,7.0,0.5,18.4311377245509,46.99401197604791,16.706586826347305,8.245508982035929
Mathias Jensen,Brentford,Midfielder,54,75.56,0.12,0.79,0.0,0.0,0.0,2.73,2.41,1.35,2.28,2.0,4,5,1,5,0,0.0,0,66.0,0,7.0,0.1,17.18181818181818,50.782000000000004,17.727272727272727,9.818181818181818
Vitaly Janelt,Brentford,Midfielder,50,100.0,0.28,0.04,1.0,0.0,4.67,3.67,2.41,1.35,2.28,2.0,4,5,1,5,12,0.11,180,270.0,0,7.0,2.5,39.199999999999996,25.766666666666666,15.0,8.0
Igor Thiago Nascimento Rodrigues,Brentford,Forward,79,97.78,0.78,0.0,0.0,0.0,1.37,0.69,2.41,1.35,2.28,2.0,4,5,1,5,4,1.3,180,262.0,1,7.0,10.6,7.076335877862596,3.984732824427481,36.412213740458014,4.740458015267176
Mamadou Sangaré,Brentford,Midfielder,57,81.85,0.15,0.25,0.41,0.0,4.29,3.0,2.41,1.35,2.28,2.0,4,5,1,5,4,0.36,135,210.0,0,7.0,12.6,24.0,20.74285714285714,17.142857142857142,6.042857142857143
Bart Verbruggen,Brighton,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2.11,2.06,0.42,2,5,1,10,3,0.0,180,270.0,0,1.0,22.3,15.333333333333332,1.0,0.0,1.6333333333333333
Ferdi Kadıoğlu,Brighton,Defender,44,93.89,0.05,0.02,0.0,0.0,2.16,0.54,2.67,2.11,2.06,0.42,2,5,1,10,2,0.08,167,167.0,0,1.0,1.7,8.29940119760479,15.736526946107785,14.550898203592816,3.880239520958084
Olivier Boscagli,Brighton,Defender,45,100.0,0.01,0.27,0.33,0.0,4.0,0.33,2.67,2.11,2.06,0.42,2,5,1,10,1,0.05,180,270.0,0,1.0,0.3,17.53333333333333,32.06666666666666,5.666666666666666,5.533333333333333
Maxim De Cuyper,Brighton,Defender,48,92.96,0.51,0.19,0.36,0.0,1.48,1.48,2.67,2.11,2.06,0.42,2,5,1,10,4,0.03,166,243.0,0,1.0,23.3,25.555555555555554,33.74074074074073,18.51851851851852,7.814814814814815
Lewis Dunk,Brighton,Defender,45,100.0,0.0,0.0,0.33,0.0,5.0,0.67,2.67,2.11,2.06,0.42,2,5,1,10,4,0.0,180,270.0,0,1.0,1.4,19.666666666666664,3.4333333333333336,1.3333333333333333,2.466666666666667
Jack Hinshelwood,Brighton,Midfielder,60,76.67,1.83,0.13,0.0,0.0,0.0,2.86,2.67,2.11,2.06,0.42,2,5,1,10,0,0.0,0,63.0,0,1.0,0.9,51.37899999999998,19.142857142857142,54.78962962962962,12.84804878048778
Pascal Groß,Brighton,Midfielder,56,100.0,0.29,0.35,0.67,0.0,1.33,1.33,2.67,2.11,2.06,0.42,2,5,1,10,14,0.84,180,270.0,1,1.0,16.3,22.93333333333333,35.53333333333333,16.666666666666664,7.3999999999999995
Georginio Rutter,Brighton,Forward,54,100.0,0.07,0.91,0.0,0.0,1.0,2.0,2.67,2.11,2.06,0.42,2,5,1,10,0,0.0,0,90.0,0,1.0,0.5,19.8,11.4,15.0,4.6
Diego Gómez Amarilla,Brighton,Midfielder,50,100.0,0.36,0.4,0.0,0.0,1.7,2.72,2.67,2.11,2.06,0.42,2,5,1,10,7,0.47,180,265.0,0,1.0,4.9,17.932075471698113,24.384905660377356,38.37735849056604,8.083018867924528
Yasin Ayari,Brighton,Midfielder,54,88.33,0.12,0.07,0.57,0.0,1.18,0.0,2.67,2.11,2.06,0.42,2,5,1,10,2,0.17,90,153.0,0,1.0,0.4,6.705882352941177,17.529411764705884,14.117647058823529,3.588235294117647
Mats Wieffer,Brighton,Defender,50,91.67,0.06,0.04,0.0,0.0,6.35,2.31,2.67,2.11,2.06,0.42,2,5,1,10,0,0.03,79,156.0,0,1.0,0.2,21.346153846153843,20.48076923076923,5.769230769230768,4.788461538461538
Charalampos Kostoulas,Brighton,Forward,55,71.48,0.38,0.02,0.0,0.0,1.38,0.92,2.67,2.11,2.06,0.42,2,5,1,10,7,0.6,169,195.0,0,1.0,0.6,6.7384615384615385,9.600000000000001,23.53846153846154,3.9230769230769234
Malick Yalcouyé,Brighton,Midfielder,45,61.85,0.37,0.2,0.0,0.0,2.16,1.62,2.67,2.11,2.06,0.42,2,5,1,10,10,0.75,163,167.0,0,1.0,3.5,32.11976047904192,25.437125748502996,33.41317365269461,9.107784431137723
Emiliano Martínez Romero,Chelsea,Goalkeeper,50,100.0,0.0,0.12,0.0,0.0,0.5,0.0,2.28,2.0,2.41,1.35,5,5,0,4,5,0.0,180,180.0,0,2.0,5.3,49.7,10.0,0.0,5.95
Morgan Rogers,Chelsea,Midfielder,76,97.78,0.29,0.6,0.34,0.0,0.35,1.05,2.28,2.0,2.41,1.35,5,5,0,4,11,0.22,176,257.0,0,2.0,35.8,37.050583657587545,39.78210116731517,23.813229571984433,10.050583657587548
Robert Lynch Sánchez,Chelsea,Goalkeeper,49,100.0,0.0,0.0,0.0,0.0,1.0,0.0,2.28,2.0,2.41,1.35,5,5,0,4,0,0.0,0,90.0,0,2.0,0.9,21.4,1.4802631578947367,0.0,2.1
Reece James,Chelsea,Defender,54,74.07,0.06,0.02,0.45,0.0,4.01,0.0,2.28,2.0,2.41,1.35,5,5,0,4,2,0.07,112,202.0,0,2.0,7.7,16.217821782178216,14.346534653465348,15.14851485148515,4.589108910891089
Malo Gusto,Chelsea,Defender,50,71.85,0.02,0.0,0.0,0.0,2.77,1.85,2.28,2.0,2.41,1.35,5,5,0,4,2,0.04,120,195.0,0,2.0,1.1,8.307692307692308,6.415384615384616,3.230769230769231,1.8
Wesley Fofana,Chelsea,Defender,50,88.89,0.0,0.02,0.56,0.0,13.18,1.72,2.28,2.0,2.41,1.35,5,5,0,4,3,0.0,157,157.0,0,2.0,0.2,33.93630573248408,13.585987261146496,3.876600698486613,4.757961783439491
Jorrel Hato,Chelsea,Defender,45,81.85,0.01,0.49,0.0,0.0,3.8,2.54,2.28,2.0,2.41,1.35,5,5,0,4,7,0.0,149,213.0,0,2.0,1.1,30.929577464788732,18.676056338028168,5.492957746478873,5.535211267605634
Josh Acheampong,Chelsea,Defender,45,74.07,0.0,0.0,0.0,0.0,5.79,2.67,2.28,2.0,2.41,1.35,5,5,0,4,2,0.0,112,202.0,0,2.0,0.4,18.534653465346537,1.8267326732673266,2.6732673267326734,2.272277227722772
Cole Palmer,Chelsea,Midfielder,97,98.15,0.53,0.24,0.34,0.0,0.69,1.37,2.28,2.0,2.41,1.35,5,5,0,4,8,0.77,180,262.0,1,2.0,28.8,38.81679389312977,28.305343511450385,38.47328244274809,10.580152671755727
Pedro Lomba Neto,Chelsea,Midfielder,65,61.85,0.47,0.39,0.0,0.0,2.8,1.12,2.28,2.0,2.41,1.35,5,5,0,4,9,0.44,147,161.0,0,2.0,1.5,31.63975155279503,29.906832298136642,31.304347826086953,9.279503105590061
Roméo Lavia,Chelsea,Midfielder,50,74.44,0.55,0.08,0.45,0.0,3.32,2.37,2.28,2.0,2.41,1.35,5,5,0,4,8,0.54,126,190.0,0,2.0,0.2,27.66315789473684,11.463157894736842,31.26315789473684,7.057894736842105
João Pedro Junqueira de Jesus,Chelsea,Forward,77,100.0,0.69,0.21,0.33,0.0,0.33,0.33,2.28,2.0,2.41,1.35,5,5,0,4,10,1.25,180,270.0,0,2.0,74.1,34.666666666666664,24.766666666666666,30.666666666666664,8.966666666666665
Maxence Lacroix,Chelsea,Defender,60,100.0,0.0,0.15,0.33,0.0,8.0,2.67,2.28,2.0,2.41,1.35,5,5,0,4,3,0.02,180,270.0,0,2.0,8.1,27.733333333333334,4.199999999999999,3.333333333333333,3.5
Frank Onyeka,Coventry,Midfielder,49,85.56,0.0,0.0,0.0,0.0,1.78,1.18,1.08,1.5,1.46,1.08,16,5,0,20,2,0.0,62,152.0,0,3.0,0.1,2.3684210526315788,1.1842105263157894,,0.3552631578947368
Carl Rushworth,Coventry,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.08,1.5,1.46,1.08,16,5,0,20,4,0.0,180,270.0,0,3.0,0.9,14.533333333333333,,,1.4666666666666668
Bobby Thomas,Coventry,Defender,40,96.3,0.05,0.2,0.0,0.0,10.16,0.7,1.08,1.5,1.46,1.08,16,5,0,20,12,0.22,167,257.0,0,3.0,9.4,21.291828793774318,11.45136186770428,8.754863813229571,4.132295719844358
Milan van Ewijk,Coventry,Defender,40,100.0,0.0,0.04,0.33,0.0,5.0,1.67,1.08,1.5,1.46,1.08,16,5,0,20,5,0.0,180,270.0,0,3.0,10.5,14.266666666666666,13.7,3.333333333333333,3.1333333333333333
Jay Dasilva,Coventry,Defender,40,98.52,0.03,0.01,0.0,0.0,4.09,1.36,1.08,1.5,1.46,1.08,16,5,0,20,4,0.18,174,264.0,0,3.0,0.7,17.318181818181817,8.863636363636363,5.795454545454545,3.2386363636363633
Aurèle Amenda,Coventry,Defender,40,100.0,0.0,0.0,0.33,0.0,5.0,0.33,1.08,1.5,1.46,1.08,16,5,0,20,3,0.02,180,270.0,0,3.0,0.8,14.866666666666667,1.4,3.6666666666666665,2.033333333333333
Matt Grimes,Coventry,Midfielder,50,100.0,0.01,0.0,0.0,0.0,2.67,1.67,1.08,1.5,1.46,1.08,16,5,0,20,4,0.05,180,270.0,0,3.0,0.1,15.4,8.966666666666665,1.0,2.533333333333333
Ephron Mason-Clark,Coventry,Midfielder,54,73.33,0.0,0.02,0.0,0.0,2.83,0.0,1.08,1.5,1.46,1.08,16,5,0,20,3,0.0,127,127.0,0,3.0,0.1,2.9763779527559056,11.905511811023622,1.4173228346456692,1.4881889763779528
Loum Tchaouna,Coventry,Midfielder,54,63.33,0.07,0.09,0.0,0.0,2.71,0.54,1.08,1.5,1.46,1.08,16,5,0,20,2,0.15,85,166.0,0,3.0,0.1,9.216867469879517,26.7289156626506,15.722891566265059,5.204819277108434
Taiwo Awoniyi,Coventry,Forward,55,66.67,0.62,0.03,0.0,0.0,1.5,0.0,1.08,1.5,1.46,1.08,16,5,0,20,4,1.24,160,180.0,0,3.0,0.6,6.8,17.65,34.0,5.85
Caleb Yirenkyi,Coventry,Midfielder,49,60.37,0.02,0.03,0.55,0.0,2.85,0.0,1.08,1.5,1.46,1.08,16,5,0,20,4,0.03,97,158.0,0,3.0,0.2,5.924050632911393,11.050632911392405,3.987341772151899,1.879746835443038
Dean Henderson,Crystal Palace,Goalkeeper,50,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.84,2.3,1.28,1.5,9,5,0,13,3,0.0,180,270.0,0,2.0,2.2,32.266666666666666,0.2702702702702703,0.0,3.1999999999999997
Chris Richards,Crystal Palace,Defender,50,100.0,0.02,0.0,0.0,0.0,8.67,1.67,1.84,2.3,1.28,1.5,9,5,0,13,1,0.08,180,270.0,0,2.0,0.7,28.8,0.43333333333333335,8.0,3.6999999999999997
Jaydee Canvot,Crystal Palace,Defender,49,100.0,0.01,0.0,0.0,0.0,5.67,2.33,1.84,2.3,1.28,1.5,9,5,0,13,1,0.0,180,270.0,0,2.0,0.2,21.066666666666666,2.6999999999999997,1.6666666666666665,2.533333333333333
Tyrick Mitchell,Crystal Palace,Defender,45,95.56,0.36,0.19,0.0,0.0,3.56,2.13,1.84,2.3,1.28,1.5,9,5,0,13,15,0.77,163,253.0,0,2.0,7.2,36.0,16.399209486166008,19.92094861660079,7.221343873517787
Adam Wharton,Crystal Palace,Midfielder,55,100.0,0.0,0.21,0.0,0.0,3.67,2.33,1.84,2.3,1.28,1.5,9,5,0,13,4,0.0,180,270.0,0,2.0,0.9,15.933333333333332,19.466666666666665,0.6666666666666666,3.6333333333333333
Yéremy Pino Santos,Crystal Palace,Midfielder,55,70.0,0.25,0.45,0.0,0.0,1.42,2.37,1.84,2.3,1.28,1.5,9,5,0,13,10,0.3,155,190.0,0,2.0,0.6,9.852631578947369,39.36315789473684,9.947368421052632,5.921052631578947
Daichi Kamada,Crystal Palace,Midfielder,50,100.0,0.01,0.24,0.33,0.0,1.34,3.02,1.84,2.3,1.28,1.5,9,5,0,13,7,0.05,178,268.0,0,2.0,0.4,19.343283582089555,18.57089552238806,4.365671641791045,4.23134328358209
Jean-Philippe Mateta,Crystal Palace,Forward,64,74.44,1.77,0.03,0.0,0.0,1.45,2.9,1.84,2.3,1.28,1.5,9,5,0,13,0,0.0,0,62.0,1,2.0,1.6,2.032258064516129,17.85483870967742,15.967741935483872,3.629032258064516
Eddie Nketiah,Crystal Palace,Forward,55,66.3,0.68,0.87,0.0,0.0,1.08,2.16,1.84,2.3,1.28,1.5,9,5,0,13,6,0.5,112,167.0,0,2.0,0.8,18.4311377245509,24.682634730538922,26.94610778443114,7.005988023952096
Anan Khalaili,Crystal Palace,Defender,50,72.96,0.17,0.07,0.46,0.0,7.24,7.69,1.84,2.3,1.28,1.5,9,5,0,13,5,0.74,164,199.0,0,2.0,0.4,32.56281407035176,13.703517587939698,6.78391959798995,5.336683417085427
Quinten Timber,Crystal Palace,Midfielder,50,86.67,0.02,0.0,0.0,0.0,2.47,1.23,1.84,2.3,1.28,1.5,9,5,0,13,2,0.02,73,73.0,0,2.0,0.0,5.178082191780822,0.24657534246575344,1.2328767123287672,0.6164383561643836
Jordan Pickford,Everton,Goalkeeper,55,100.0,0.0,0.0,0.0,0.0,1.33,0.0,1.39,1.79,1.33,2.26,14,5,1,8,4,0.0,180,270.0,0,8.0,8.6,24.199999999999996,0.5342105263157895,0.0526315789473684,2.433333333333333
James Tarkowski,Everton,Defender,60,100.0,0.04,0.0,0.0,0.0,8.67,1.67,1.39,1.79,1.33,2.26,14,5,1,8,15,0.12,180,270.0,0,8.0,11.6,31.46666666666667,4.366666666666666,9.666666666666666,4.533333333333333
Jarrad Branthwaite,Everton,Defender,55,100.0,0.11,0.0,0.0,0.0,9.0,1.33,1.39,1.79,1.33,2.26,14,5,1,8,7,0.17,180,270.0,0,8.0,1.9,27.599999999999998,0.9666666666666666,24.333333333333332,5.266666666666667
Vitalii Mykolenko,Everton,Defender,45,100.0,0.0,0.01,0.0,0.0,6.0,1.33,1.39,1.79,1.33,2.26,14,5,1,8,5,0.0,180,270.0,0,8.0,2.0,20.799999999999997,5.766666666666667,0.6666666666666666,2.733333333333333
Kiernan Dewsbury-Hall,Everton,Midfielder,65,100.0,0.14,0.2,0.0,0.0,1.0,3.0,1.39,1.79,1.33,2.26,14,5,1,8,4,0.33,180,270.0,0,8.0,4.7,28.733333333333334,36.86666666666666,23.0,8.866666666666667
Tyrique George,Everton,Midfielder,55,89.63,0.12,0.14,0.0,0.0,1.54,0.38,1.39,1.79,1.33,2.26,14,5,1,8,12,0.09,151,234.0,0,8.0,0.6,22.000000000000004,26.923076923076923,25.384615384615387,7.423076923076923
Harrison Armstrong,Everton,Midfielder,50,99.63,0.03,0.16,0.33,0.0,3.05,2.03,1.39,1.79,1.33,2.26,14,5,1,8,3,0.09,176,266.0,0,8.0,0.4,15.293233082706767,11.402255639097744,4.398496240601504,3.1466165413533833
Merlin Röhl,Everton,Midfielder,50,95.19,0.0,0.15,0.35,0.0,2.17,1.81,1.39,1.79,1.33,2.26,14,5,1,8,3,0.0,159,249.0,0,8.0,0.0,9.614457831325302,11.602409638554217,0.7228915662650602,2.2048192771084336
Thierno Barry,Everton,Forward,56,90.74,0.82,0.06,0.0,0.0,0.76,0.38,1.39,1.79,1.33,2.26,14,5,1,8,4,1.86,159,237.0,1,8.0,6.2,18.303797468354432,17.354430379746837,46.708860759493675,8.240506329113924
Bernd Leno,Fulham,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.77,2.17,2.51,1.45,11,5,1,19,4,0.0,180,270.0,0,6.0,2.9,22.53333333333333,0.0,0.0,2.2666666666666666
Joachim Andersen,Fulham,Defender,50,100.0,0.0,0.08,0.5,0.0,6.5,1.0,1.77,2.17,2.51,1.45,11,5,1,19,2,0.0,180,180.0,0,6.0,0.1,21.1,17.9,4.0,4.3
Antonee Robinson,Fulham,Defender,45,95.19,0.1,0.04,0.0,0.0,2.53,2.89,1.77,2.17,2.51,1.45,11,5,1,19,3,0.08,168,249.0,1,6.0,1.3,16.626506024096386,19.734939759036145,4.337349397590361,4.048192771084337
Jorge Cuenca Barreno,Fulham,Defender,45,100.0,0.0,0.24,0.0,0.0,9.0,1.0,1.77,2.17,2.51,1.45,11,5,1,19,0,0.0,0,90.0,0,6.0,0.0,32.8,21.3,1.3475935828877006,5.4
Calvin Bassey,Fulham,Defender,45,100.0,0.01,0.0,0.33,0.0,3.33,1.0,1.77,2.17,2.51,1.45,11,5,1,19,3,0.0,180,270.0,0,6.0,0.7,15.666666666666666,4.266666666666667,0.6666666666666666,2.0666666666666664
Timothy Castagne,Fulham,Defender,45,92.22,0.24,0.13,0.36,0.0,4.01,1.46,1.77,2.17,2.51,1.45,11,5,1,19,7,0.58,157,247.0,0,6.0,0.8,21.352226720647774,19.16599190283401,19.31174089068826,5.975708502024291
