full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,61,100.0,0.0,0.0,0.03,0.0,1.03,0.03,2.01,0.89,0.99,2.18,19,37,1,1,15,0.0,180,0,6.0,36.3,539.4,33.5,0.0,57.3
Gabriel dos Santos Magalhães,Arsenal,Defender,73,96.93,0.16,0.09,0.14,0.0,7.95,1.27,2.01,0.89,0.99,2.18,19,37,1,1,17,0.94,180,0,6.0,46.1,806.8,127.0,295.0,122.8
William Saliba,Arsenal,Defender,62,93.3,0.06,0.05,0.07,0.0,5.38,1.25,2.01,0.89,0.99,2.18,19,37,1,1,11,0.0,180,0,6.0,17.1,533.0,199.2,90.0,82.2
Riccardo Calafiori,Arsenal,Defender,56,75.56,0.19,0.03,0.28,0.0,3.93,1.82,2.01,0.89,0.99,2.18,19,37,1,1,7,0.44,135,0,6.0,5.9,270.0,141.9,303.0,71.6
Jurriën Timber,Arsenal,Defender,60,91.67,0.15,0.09,0.18,0.0,3.01,2.42,2.01,0.89,0.99,2.18,19,37,1,1,0,0.0,0,0,6.0,15.6,499.0,402.6,352.0,125.7
Benjamin White,Arsenal,Defender,51,65.09,0.04,0.2,0.0,0.0,4.89,1.93,2.01,0.89,0.99,2.18,19,37,1,1,7,0.0,109,0,6.0,0.5,154.8,133.4,54.0,34.3
Bukayo Saka,Arsenal,Midfielder,100,79.59,0.36,0.34,0.08,0.0,1.1,1.48,2.01,0.89,0.99,2.18,19,37,1,1,13,0.34,124,1,6.0,13.0,602.6,828.9,804.0,223.9
Martin Ødegaard,Arsenal,Midfielder,78,60.72,0.08,0.35,0.0,0.0,0.92,1.34,2.01,0.89,0.99,2.18,19,37,1,1,4,0.0,23,0,6.0,1.7,305.0,545.7,161.0,101.1
Leandro Trossard,Arsenal,Midfielder,65,71.7,0.31,0.23,0.09,0.0,1.23,1.27,2.01,0.89,0.99,2.18,19,37,1,1,15,0.56,180,0,6.0,2.0,493.2,531.2,534.0,156.1
Declan Rice,Arsenal,Midfielder,72,95.9,0.11,0.24,0.09,0.0,3.69,1.92,2.01,0.89,0.99,2.18,19,37,1,1,8,0.0,153,0,6.0,24.3,802.6,1021.1,294.0,211.9
Martín Zubimendi Ibáñez,Arsenal,Midfielder,49,91.02,0.09,0.03,0.12,0.0,3.72,2.08,2.01,0.89,0.99,2.18,19,37,1,1,2,0.0,65,0,6.0,2.8,587.2,366.6,271.0,122.7
Eberechi Eze,Arsenal,Midfielder,73,65.99,0.21,0.13,0.05,0.0,1.05,0.9,2.01,0.89,0.99,2.18,19,37,1,1,6,0.28,143,0,6.0,8.9,380.8,291.1,408.0,107.7
Viktor Gyökeres,Arsenal,Forward,90,73.1,0.54,0.09,0.2,0.0,0.94,0.25,2.01,0.89,0.99,2.18,19,37,1,1,18,1.82,153,1,6.0,18.2,534.2,252.8,762.0,154.0
Piero Hincapié,Arsenal,Defender,51,81.16,0.02,0.11,0.11,0.0,6.33,2.52,2.01,0.89,0.99,2.18,19,37,1,1,0,0.0,0,0,6.0,0.9,434.8,181.0,61.0,67.5
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.46,0.0,0.01,0.07,0.0,0.85,0.0,1.42,1.49,1.74,1.39,4,37,1,5,9,0.0,182,0,5.0,4.6,749.2,23.2,0.0,77.1
Marco Bizot,Aston Villa,Goalkeeper,42,91.3,0.0,0.0,0.18,0.0,1.27,0.0,1.42,1.49,1.74,1.39,4,37,1,5,0,0.0,0,0,5.0,0.4,118.2,0.0,0.0,11.8
Matty Cash,Aston Villa,Defender,47,97.95,0.04,0.1,0.25,0.0,3.56,2.0,1.42,1.49,1.74,1.39,4,37,1,5,7,0.0,172,0,5.0,7.7,618.4,487.6,217.0,132.3
Lucas Digne,Aston Villa,Defender,45,65.44,0.03,0.15,0.15,0.0,3.7,1.8,1.42,1.49,1.74,1.39,4,37,1,5,1,0.0,16,0,5.0,1.5,376.8,439.2,126.0,94.1
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.19,0.03,0.02,0.0,0.03,5.13,0.67,1.42,1.49,1.74,1.39,4,37,1,5,1,0.0,90,0,5.0,7.2,587.8,107.4,124.0,82.5
Tyrone Mings,Aston Villa,Defender,43,85.0,0.11,0.05,0.07,0.0,6.72,0.29,1.42,1.49,1.74,1.39,4,37,1,5,1,0.22,180,0,5.0,0.6,256.2,79.7,105.0,44.1
Pau Torres,Aston Villa,Defender,43,92.11,0.04,0.0,0.06,0.0,4.83,1.21,1.42,1.49,1.74,1.39,4,37,1,5,0,0.0,0,0,5.0,0.3,302.4,46.5,55.0,40.7
Morgan Rogers,Aston Villa,Midfielder,74,99.1,0.2,0.18,0.2,0.0,1.33,1.13,1.42,1.49,1.74,1.39,4,37,1,5,3,0.17,180,0,5.0,21.2,680.6,654.4,850.0,218.2
Youri Tielemans,Aston Villa,Midfielder,59,84.88,0.09,0.14,0.0,0.0,2.52,2.78,1.42,1.49,1.74,1.39,4,37,1,5,7,0.07,183,0,5.0,0.7,405.2,467.8,170.0,104.4
John McGinn,Aston Villa,Midfielder,53,84.52,0.12,0.21,0.17,0.0,1.37,1.19,1.42,1.49,1.74,1.39,4,37,1,5,5,0.19,84,0,5.0,0.7,419.0,601.9,291.0,131.0
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.42,1.49,1.74,1.39,4,37,1,5,0,0.0,0,0,5.0,0.2,325.0,241.3,75.0,64.2
Amadou Onana,Aston Villa,Midfielder,48,82.36,0.14,0.03,0.15,0.0,5.07,2.43,1.42,1.49,1.74,1.39,4,37,1,5,0,0.0,0,0,5.0,0.6,409.6,151.1,178.0,73.9
Ollie Watkins,Aston Villa,Forward,87,86.6,0.5,0.09,0.1,0.0,0.71,0.71,1.42,1.49,1.74,1.39,4,37,1,5,11,0.27,123,0,5.0,13.3,556.6,316.1,990.0,185.7
Victor Lindelöf,Aston Villa,Defender,45,60.22,0.02,0.07,0.0,0.0,4.47,0.65,1.42,1.49,1.74,1.39,4,37,1,5,2,0.0,163,0,5.0,0.1,156.4,32.9,22.0,21.2
Kyle Walker,Burnley,Defender,44,95.46,0.0,0.05,0.28,0.0,4.69,1.64,0.99,2.18,2.01,0.89,1,37,0,19,2,0.03,180,0,0.0,1.1,483.8,221.3,26.0,73.4
Hjalmar Ekdal,Burnley,Defender,38,90.35,0.04,0.01,0.0,0.0,8.77,1.4,0.99,2.18,2.01,0.89,1,37,0,19,3,0.0,90,0,0.0,0.7,372.0,55.8,88.0,51.7
Maxime Estève,Burnley,Defender,39,96.36,0.01,0.02,0.03,0.0,8.99,1.26,0.99,2.18,2.01,0.89,1,37,0,19,6,0.0,180,0,0.0,6.8,721.8,92.3,97.0,91.3
Quilindschy Hartman,Burnley,Defender,40,97.51,0.02,0.14,0.05,0.0,4.98,2.56,0.99,2.18,2.01,0.89,1,37,0,19,1,0.0,64,0,0.0,0.6,422.2,288.8,83.0,79.5
Bashir Humphreys,Burnley,Defender,39,91.91,0.03,0.05,0.36,0.0,6.65,1.65,0.99,2.18,2.01,0.89,1,37,0,19,0,0.05,75,0,0.0,0.1,356.0,132.1,99.0,58.5
