full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.97,0.03,1.96,0.81,,,,,,,17,0.0,270,0,,30.6,445.8,33.4,0.0,48.0
Gabriel dos Santos Magalhães,Arsenal,Defender,72,96.31,0.13,0.11,0.12,0.0,7.98,1.33,1.96,0.81,,,,,,,29,0.06,270,0,,36.2,686.8,108.4,199.0,99.2
William Saliba,Arsenal,Defender,61,91.96,0.07,0.02,0.04,0.0,5.25,1.26,1.96,0.81,,,,,,,21,0.26,180,0,,12.3,433.6,156.4,74.0,66.4
Riccardo Calafiori,Arsenal,Defender,56,75.4,0.16,0.03,0.3,0.0,3.98,1.93,1.96,0.81,,,,,,,7,0.15,99,0,,5.9,244.4,127.9,249.0,62.2
Jurriën Timber,Arsenal,Defender,63,91.67,0.15,0.09,0.18,0.0,3.01,2.42,1.96,0.81,,,,,,,22,0.41,217,0,,22.8,499.0,402.6,352.0,125.7
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,1.96,0.81,,,,,,,0,0.0,0,0,,0.4,111.4,92.7,46.0,25.0
Bukayo Saka,Arsenal,Midfielder,98,82.72,0.37,0.29,0.04,0.0,1.08,1.58,1.96,0.81,,,,,,,14,0.28,270,1,,7.5,538.8,725.9,762.0,202.9
Leandro Trossard,Arsenal,Midfielder,66,72.95,0.31,0.19,0.05,0.0,1.18,1.34,1.96,0.81,,,,,,,2,0.16,85,0,,0.7,407.4,450.0,432.0,129.2
Declan Rice,Arsenal,Midfielder,73,96.04,0.13,0.25,0.07,0.0,3.7,1.95,1.96,0.81,,,,,,,11,0.1,255,0,,21.0,736.2,911.4,273.0,192.2
Martín Zubimendi Ibáñez,Arsenal,Midfielder,51,94.52,0.1,0.03,0.14,0.0,3.6,1.87,1.96,0.81,,,,,,,8,0.21,242,0,,3.0,539.6,335.9,258.0,113.5
Eberechi Eze,Arsenal,Midfielder,72,65.13,0.23,0.15,0.06,0.0,1.14,0.96,1.96,0.81,,,,,,,8,0.4,270,0,,7.7,338.4,242.8,373.0,95.3
Viktor Gyökeres,Arsenal,Forward,88,73.83,0.47,0.1,0.19,0.0,0.95,0.29,1.96,0.81,,,,,,,10,1.03,162,1,,10.7,413.8,211.3,622.0,123.9
Piero Hincapié,Arsenal,Defender,51,79.37,0.02,0.12,0.12,0.0,6.12,2.34,1.96,0.81,,,,,,,13,0.0,196,0,,0.7,383.4,168.4,57.0,60.7
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.16,0.0,0.0,0.08,0.0,0.98,0.0,1.34,1.55,1.27,1.85,18.0,31.0,1.0,4.0,3,0.0,180,0,6.0,6.6,598.4,13.2,0.0,61.1
Marco Bizot,Aston Villa,Goalkeeper,42,89.56,0.0,0.0,0.22,0.0,1.33,0.0,1.34,1.55,1.27,1.85,18.0,31.0,1.0,4.0,0,0.0,0,0,6.0,0.4,92.8,0.0,0.0,9.3
Matty Cash,Aston Villa,Defender,47,97.78,0.04,0.11,0.27,0.0,3.9,1.84,1.34,1.55,1.27,1.85,18.0,31.0,1.0,4.0,-1,0.0,45,0,6.0,8.6,533.0,413.7,188.0,113.5
Lucas Digne,Aston Villa,Defender,45,65.56,0.04,0.12,0.18,0.0,3.64,1.67,1.34,1.55,1.27,1.85,18.0,31.0,1.0,4.0,4,0.0,81,0,6.0,1.7,298.4,341.2,110.0,74.8
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.08,0.03,0.02,0.0,0.03,5.36,0.7,1.34,1.55,1.27,1.85,18.0,31.0,1.0,4.0,1,0.0,180,0,6.0,8.6,525.0,92.8,104.0,72.7
Tyrone Mings,Aston Villa,Defender,43,81.54,0.09,0.07,0.0,0.0,7.11,0.37,1.34,1.55,1.27,1.85,18.0,31.0,1.0,4.0,3,0.36,180,0,6.0,0.7,214.8,70.9,61.0,34.7
