full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.97,0.03,1.96,0.81,1.74,1.47,13,32.0,1,1,14,0.0,180,0,2.0,34.0,445.8,33.4,0.0,48.0
Gabriel dos Santos Magalhães,Arsenal,Defender,72,96.31,0.13,0.11,0.12,0.0,7.98,1.33,1.96,0.81,1.74,1.47,13,32.0,1,1,20,0.03,180,0,2.0,43.3,686.8,108.4,199.0,99.2
William Saliba,Arsenal,Defender,61,91.96,0.07,0.02,0.04,0.0,5.25,1.26,1.96,0.81,1.74,1.47,13,32.0,1,1,11,0.0,90,0,2.0,13.8,433.6,156.4,74.0,66.4
Riccardo Calafiori,Arsenal,Defender,56,75.4,0.16,0.03,0.3,0.0,3.98,1.93,1.96,0.81,1.74,1.47,13,32.0,1,1,7,0.15,99,0,2.0,6.1,244.4,127.9,249.0,62.2
Jurriën Timber,Arsenal,Defender,63,91.67,0.15,0.09,0.18,0.0,3.01,2.42,1.96,0.81,1.74,1.47,13,32.0,1,1,14,0.0,127,0,2.0,24.9,499.0,402.6,352.0,125.7
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,1.96,0.81,1.74,1.47,13,32.0,1,1,0,0.0,0,0,2.0,0.5,111.4,92.7,46.0,25.0
Bukayo Saka,Arsenal,Midfielder,98,82.72,0.37,0.29,0.04,0.0,1.08,1.58,1.96,0.81,1.74,1.47,13,32.0,1,1,12,0.27,180,1,2.0,7.7,538.8,725.9,762.0,202.9
Leandro Trossard,Arsenal,Midfielder,65,72.95,0.31,0.19,0.05,0.0,1.18,1.34,1.96,0.81,1.74,1.47,13,32.0,1,1,1,0.14,30,0,2.0,0.8,407.4,450.0,432.0,129.2
Declan Rice,Arsenal,Midfielder,73,96.04,0.13,0.25,0.07,0.0,3.7,1.95,1.96,0.81,1.74,1.47,13,32.0,1,1,6,0.06,180,0,2.0,25.6,736.2,911.4,273.0,192.2
Martín Zubimendi Ibáñez,Arsenal,Midfielder,51,94.52,0.1,0.03,0.14,0.0,3.6,1.87,1.96,0.81,1.74,1.47,13,32.0,1,1,6,0.13,152,0,2.0,3.5,539.6,335.9,258.0,113.5
