full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,total_minutes,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.85,0.56,0.28,4.0,20,2,0,2,6,0.0,90,90.0,0,4.0,38.0,14.63783783783784,0.9054054054054056,0.0,1.5540540540540542
Gabriel dos Santos Magalhães,Arsenal,Defender,80,100.0,0.03,0.0,1.0,0.0,4.0,0.0,1.85,0.56,0.28,4.0,20,2,0,2,5,0.05,90,90.0,0,4.0,29.5,26.96727272727273,4.205454545454546,9.752727272727274,4.090909090909091
Myles Lewis-Skelly,Arsenal,Midfielder,55,100.0,0.05,0.05,0.0,0.0,1.0,1.0,1.85,0.56,0.28,4.0,20,2,0,2,3,0.06,90,90.0,0,4.0,0.7,,,,
Riccardo Calafiori,Arsenal,Defender,55,92.22,0.09,0.11,0.0,0.0,4.5,1.12,1.85,0.56,0.28,4.0,20,2,0,2,9,0.04,80,80.0,0,4.0,40.8,15.008839127872715,9.668238067177372,16.599882144961697,4.13140836770772
Benjamin White,Arsenal,Defender,55,100.0,0.13,0.19,0.0,0.0,4.0,1.0,1.85,0.56,0.28,4.0,20,2,0,2,11,0.18,90,90.0,0,4.0,5.4,19.931330472103003,17.175965665236053,6.952789699570815,4.416309012875536
Cristhian Mosquera,Arsenal,Defender,55,100.0,0.0,0.0,0.0,0.0,6.0,0.0,1.85,0.56,0.28,4.0,20,2,0,2,6,0.0,90,90.0,0,4.0,6.1,,,,
Bukayo Saka,Arsenal,Midfielder,95,77.78,1.0,0.06,0.0,0.0,2.69,1.34,1.85,0.56,0.28,4.0,20,2,0,2,9,0.64,67,67.0,1,4.0,10.2,25.441839495040576,34.39314697926059,33.597835888187554,9.313957623446619
Declan Rice,Arsenal,Midfielder,75,77.78,0.05,0.0,0.0,0.0,4.03,0.0,1.85,0.56,0.28,4.0,20,2,0,2,3,0.07,67,67.0,0,4.0,17.7,24.0698351115422,29.895247332686715,8.671193016488845,6.267701260911736
Martin Ødegaard,Arsenal,Midfielder,65,86.67,0.27,0.33,0.0,0.0,1.2,3.6,1.85,0.56,0.28,4.0,20,2,0,2,11,0.21,75,75.0,0,4.0,10.2,20.588407923697726,37.267791636096845,11.093176815847396,6.893617021276596
Kai Havertz,Arsenal,Forward,75,100.0,0.1,0.05,0.0,0.0,2.0,0.0,1.85,0.56,0.28,4.0,20,2,0,2,6,0.26,90,90.0,0,4.0,6.7,,,,
Christos Tzolis,Arsenal,Midfielder,65,86.67,0.27,0.22,0.0,0.0,2.4,1.2,1.85,0.56,0.28,4.0,20,2,0,2,6,0.19,75,75.0,0,4.0,25.6,,,,
Marco Bizot,Aston Villa,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.28,4.0,1.85,0.56,2,2,1,20,1,0.0,90,90.0,0,0.0,0.1,21.41538461538461,0.0,0.0,2.1384615384615384
Matty Cash,Aston Villa,Defender,45,100.0,0.0,0.0,1.0,0.0,5.0,2.0,0.28,4.0,1.85,0.56,2,2,1,20,-1,0.0,90,90.0,0,0.0,8.4,19.18766578249337,15.23972148541114,6.594827586206896,4.103116710875331
Pau Torres,Aston Villa,Defender,45,87.78,0.0,0.0,0.0,0.0,6.16,0.0,0.28,4.0,1.85,0.56,2,2,1,20,0,0.0,73,73.0,0,0.0,0.5,17.311416616855947,2.533771667662881,4.249850567842199,2.426180514046623
Ian Maatsen,Aston Villa,Defender,45,96.67,0.03,0.0,0.0,0.0,7.78,2.22,0.28,4.0,1.85,0.56,2,2,1,20,0,0.03,81,81.0,0,0.0,0.8,,,,
Victor Lindelöf,Aston Villa,Defender,45,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.28,4.0,1.85,0.56,2,2,1,20,-2,0.0,90,90.0,0,0.0,0.3,16.031847133757964,3.496815286624204,2.1019108280254777,2.168789808917197
Emiliano Buendía Stati,Aston Villa,Midfielder,60,100.0,0.12,0.1,0.0,0.0,3.18,1.06,0.28,4.0,1.85,0.56,2,2,1,20,2,0.13,85,85.0,1,0.0,1.3,,,,
John McGinn,Aston Villa,Midfielder,55,96.67,0.04,0.0,1.03,0.0,2.22,1.11,0.28,4.0,1.85,0.56,2,2,1,20,1,0.04,81,81.0,0,0.0,3.1,19.373595505617978,25.504213483146064,13.019662921348312,5.7851123595505625
Ross Barkley,Aston Villa,Midfielder,50,87.78,0.11,0.11,0.0,0.0,1.23,0.0,0.28,4.0,1.85,0.56,2,2,1,20,2,0.1,73,73.0,0,0.0,0.2,,,,
Boubacar Kamara,Aston Villa,Midfielder,50,100.0,0.0,0.0,0.0,0.0,3.0,2.0,0.28,4.0,1.85,0.56,2,2,1,20,2,0.0,90,90.0,0,0.0,0.4,20.74468085106383,15.402127659574468,4.787234042553191,4.097872340425532
George Hemmings,Aston Villa,Midfielder,45,100.0,0.0,0.03,0.0,0.0,0.0,3.0,0.28,4.0,1.85,0.56,2,2,1,20,2,0.0,90,90.0,0,0.0,0.7,,,,
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.71,2.47,1.45,2.23,4,2,1,13,2,0.0,90,90.0,0,0.0,3.3,21.64736842105263,0.0,0.0,2.168421052631579
James Hill,Bournemouth,Defender,55,100.0,0.0,0.0,0.0,0.0,5.0,1.0,0.71,2.47,1.45,2.23,4,2,1,13,1,0.0,90,90.0,0,0.0,0.9,24.80780209324453,6.9234062797335865,5.095147478591817,3.695052331113225
Adrien Truffert,Bournemouth,Defender,55,100.0,0.0,0.0,0.0,0.0,5.0,2.0,0.71,2.47,1.45,2.23,4,2,1,13,1,0.0,90,90.0,0,0.0,4.3,22.83303730017762,15.298401420959149,5.1687388987566605,4.33214920071048
Adam Smith,Bournemouth,Defender,45,100.0,0.0,0.0,0.0,0.0,4.0,1.0,0.71,2.47,1.45,2.23,4,2,1,13,1,0.0,90,90.0,0,0.0,0.1,,,,
Marcus Tavernier,Bournemouth,Midfielder,60,100.0,0.48,0.08,0.0,0.0,2.0,2.0,0.71,2.47,1.45,2.23,4,2,1,13,10,0.4,90,90.0,0,0.0,1.9,21.63689604685212,26.90117130307468,19.930453879941435,6.84882869692533
