full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90,total_minutes
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.9,0.03,1.96,0.8,1.3,1.51,8,30.0,1,1,10,0.0,180,0,3.0,34.8,14.63783783783784,0.9054054054054056,0.0,1.5540540540540542,3330.0
Gabriel dos Santos Magalhães,Arsenal,Defender,72,96.16,0.14,0.11,0.13,0.0,7.94,1.34,1.96,0.8,1.3,1.51,8,30.0,1,1,20,0.03,180,0,3.0,43.8,26.96727272727273,4.205454545454546,9.752727272727274,4.090909090909091,2750.0
William Saliba,Arsenal,Defender,61,91.62,0.07,0.02,0.05,0.0,5.08,1.18,1.96,0.8,1.3,1.51,8,30.0,1,1,10,0.26,90,0,3.0,13.4,19.02601377199694,6.920428462127009,3.098699311400153,2.902448355011477,2614.0
Riccardo Calafiori,Arsenal,Defender,56,74.81,0.16,0.02,0.32,0.0,4.06,2.03,1.96,0.8,1.3,1.51,8,30.0,1,1,1,0.0,26,0,3.0,6.0,15.008839127872715,9.668238067177372,16.599882144961697,4.13140836770772,1697.0
Jurriën Timber,Arsenal,Defender,63,93.41,0.15,0.1,0.18,0.0,2.98,2.39,1.96,0.8,1.3,1.51,8,30.0,1,1,21,0.41,180,0,3.0,28.9,18.31566068515497,14.777324632952691,12.920065252854812,4.613784665579119,2452.0
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,1.96,0.8,1.3,1.51,8,30.0,1,1,0,0.0,0,0,3.0,0.5,19.931330472103003,17.175965665236053,6.952789699570815,4.416309012875536,699.0
Bukayo Saka,Arsenal,Midfielder,98,82.05,0.38,0.3,0.05,0.0,1.04,1.61,1.96,0.8,1.3,1.51,8,30.0,1,1,11,0.13,180,1,3.0,8.2,25.441839495040576,34.39314697926059,33.597835888187554,9.3570784490532,2218.0
Leandro Trossard,Arsenal,Midfielder,66,72.95,0.31,0.19,0.05,0.0,1.18,1.34,1.96,0.8,1.3,1.51,8,30.0,1,1,2,0.16,85,0,3.0,0.9,,,,,
Declan Rice,Arsenal,Midfielder,74,95.9,0.13,0.25,0.07,0.0,3.8,1.95,1.96,0.8,1.3,1.51,8,30.0,1,1,8,0.04,165,0,3.0,29.7,24.069835111542197,29.895247332686715,8.671193016488845,6.267701260911736,3093.0
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,94.74,0.09,0.03,0.14,0.0,3.67,1.89,1.96,0.8,1.3,1.51,8,30.0,1,1,5,0.11,169,0,3.0,4.2,18.150451354062188,11.58776328986961,8.15446339017051,3.7973921765295886,2991.0
