full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Leny Yoro,Man Utd,Defender,42,60.53,0.06,0.01,0.0,0.0,1.96,1.32,24.0,1.0,4.0
Ayden Heaven,Man Utd,Defender,38,64.95,0.03,0.05,0.14,0.0,1.96,1.32,24.0,1.0,4.0
Bruno Borges Fernandes,Man Utd,Midfielder,95,96.22,0.43,0.43,0.1,0.0,1.96,1.32,24.0,1.0,4.0
Matheus Santos Carneiro da Cunha,Man Utd,Midfielder,80,77.78,0.29,0.14,0.06,0.0,1.96,1.32,24.0,1.0,4.0
Amad Diallo,Man Utd,Midfielder,62,90.98,0.27,0.2,0.06,0.0,1.96,1.32,24.0,1.0,4.0
Carlos Henrique Casimiro,Man Utd,Midfielder,55,80.74,0.21,0.13,0.29,0.06,1.96,1.32,24.0,1.0,4.0
Benjamin Sesko,Man Utd,Forward,72,64.69,0.6,0.05,0.09,0.0,1.96,1.32,24.0,1.0,4.0
Senne Lammens,Man Utd,Goalkeeper,50,100.0,0.0,0.0,0.0,0.0,1.96,1.32,24.0,1.0,4.0
Nick Pope,Newcastle,Goalkeeper,51,99.48,0.0,0.0,0.06,0.0,1.64,1.17,24.0,0.0,9.0
Lewis Hall,Newcastle,Defender,53,76.88,0.07,0.14,0.08,0.0,1.64,1.17,24.0,0.0,9.0
Fabian Schär,Newcastle,Defender,53,76.11,0.08,0.01,0.08,0.0,1.64,1.17,24.0,0.0,9.0
Sven Botman,Newcastle,Defender,49,75.64,0.03,0.06,0.1,0.0,1.64,1.17,24.0,0.0,9.0
Dan Burn,Newcastle,Defender,50,94.07,0.01,0.02,0.21,0.07,1.64,1.17,24.0,0.0,9.0
Tino Livramento,Newcastle,Defender,49,89.23,0.01,0.05,0.09,0.0,1.64,1.17,24.0,0.0,9.0
Kieran Trippier,Newcastle,Defender,49,89.19,0.01,0.12,0.1,0.0,1.64,1.17,24.0,0.0,9.0
Anthony Gordon,Newcastle,Midfielder,73,73.7,0.42,0.26,0.15,0.08,1.64,1.17,24.0,0.0,9.0
Bruno Guimarães Rodriguez Moura,Newcastle,Midfielder,72,97.46,0.24,0.13,0.2,0.0,1.64,1.17,24.0,0.0,9.0
Jacob Murphy,Newcastle,Midfielder,59,63.58,0.25,0.31,0.0,0.0,1.64,1.17,24.0,0.0,9.0
Joelinton Cássio Apolinário de Lira,Newcastle,Midfielder,59,80.53,0.11,0.11,0.39,0.0,1.64,1.17,24.0,0.0,9.0
Sandro Tonali,Newcastle,Midfielder,53,78.45,0.06,0.1,0.17,0.0,1.64,1.17,24.0,0.0,9.0
Lewis Miley,Newcastle,Midfielder,45,64.91,0.11,0.14,0.0,0.0,1.64,1.17,24.0,0.0,9.0
Aaron Ramsdale,Newcastle,Goalkeeper,48,86.98,0.0,0.01,0.0,0.0,1.64,1.17,24.0,0.0,9.0
Malick Thiaw,Newcastle,Defender,51,93.0,0.14,0.04,0.16,0.0,1.64,1.17,24.0,0.0,9.0
Nick Woltemade,Newcastle,Forward,71,77.78,0.49,0.07,0.0,0.0,1.64,1.17,24.0,0.0,9.0
Oleksandr Zinchenko,"""Nottham Forest""",Defender,49,77.11,0.02,0.12,0.0,0.0,1.12,1.67,,,
Matz Sels,"""Nottham Forest""",Goalkeeper,46,95.32,0.0,0.0,0.06,0.0,1.12,1.67,,,
Nikola Milenković,"""Nottham Forest""",Defender,51,100.0,0.02,0.01,0.17,0.0,1.12,1.67,,,
Murillo Costa dos Santos,"""Nottham Forest""",Defender,52,95.49,0.02,0.01,0.18,0.0,1.12,1.67,,,
Ola Aina,"""Nottham Forest""",Defender,47,96.98,0.01,0.02,0.29,0.0,1.12,1.67,,,
Neco Williams,"""Nottham Forest""",Defender,47,100.0,0.05,0.1,0.17,0.0,1.12,1.67,,,
Jair Paula da Cunha Filho,"""Nottham Forest""",Defender,42,100.0,0.0,0.0,0.0,0.0,1.12,1.67,,,
Felipe Rodrigues da Silva,"""Nottham Forest""",Defender,43,71.92,0.0,0.0,0.51,0.0,1.12,1.67,,,
